Latitude,Longitude,Elevation
42.41729000,-76.5208800,138.0
42.41730000,-76.5208900,138.0
42.41720000,-76.5209000,139.0
42.41715000,-76.5209200,139.0
42.41710000,-76.5209600,138.0
42.41706000,-76.5209900,137.0
42.41702000,-76.5210300,137.0
42.41699000,-76.5210800,136.0
42.41696000,-76.5211100,135.0
42.41690000,-76.5211200,135.0
42.41686000,-76.5211000,135.0
42.41681000,-76.5210700,136.0
42.41676000,-76.5210700,135.0
42.41671000,-76.5210800,135.0
42.41666000,-76.5211000,135.0
42.41662000,-76.5211200,136.0
42.41658000,-76.5211500,137.0
42.41654000,-76.5211800,138.0
42.41650000,-76.5212200,139.0
42.41646000,-76.5212700,140.0
42.41643000,-76.5213100,141.0
42.41638000,-76.5213300,143.0
42.41626000,-76.5212400,150.0
42.41623000,-76.5212000,151.0
42.41619000,-76.5211500,153.0
42.41617000,-76.5211000,154.0
42.41615000,-76.5210400,155.0
42.41614000,-76.5209800,156.0
42.41611000,-76.5209300,158.0
42.41608000,-76.5208700,160.0
42.41605000,-76.5208200,162.0
42.41601000,-76.5207800,165.0
42.41597000,-76.5207400,168.0
42.41593000,-76.5207100,170.0
42.41591000,-76.5206500,171.0
42.41590000,-76.5205800,171.0
42.41590000,-76.5205200,171.0
42.41591000,-76.5204500,171.0
42.41591000,-76.5203900,171.0
42.41590000,-76.5203300,172.0
42.41588000,-76.5202500,173.0
42.41586000,-76.5202000,174.0
42.41583000,-76.5201400,176.0
42.41579000,-76.5201000,178.0
42.41575000,-76.5201000,180.0
42.41574000,-76.5201800,180.0
42.41574000,-76.5202400,180.0
42.41575000,-76.5203100,179.0
42.41574000,-76.5203700,180.0
42.41572000,-76.5204200,181.0
42.41567000,-76.5204200,184.0
42.41564000,-76.5203700,185.0
42.41562000,-76.5203200,186.0
42.41557000,-76.5202800,189.0
42.41553000,-76.5202500,191.0
42.41549000,-76.5202300,193.0
42.41545000,-76.5201900,195.0
42.41541000,-76.5201500,197.0
42.41538000,-76.5201100,198.0
42.41536000,-76.5200500,199.0
42.41533000,-76.5199900,200.0
42.41532000,-76.5199800,200.0
42.41523000,-76.5198900,203.0
42.41519000,-76.5198500,205.0
42.41514000,-76.5198200,207.0
42.41511000,-76.5197800,208.0
42.41509000,-76.5197200,209.0
42.41508000,-76.5196500,209.0
42.41507000,-76.5196000,209.0
