Latitude,Longitude,Elevation
42.44307000,-76.4945600,130.0
42.44303000,-76.4944400,131.0
42.44303000,-76.4943500,132.0
42.44302000,-76.4942500,134.0
42.44299000,-76.4941700,135.0
42.44295000,-76.4941200,136.0
42.44292000,-76.4940600,137.0
42.44295000,-76.4939900,137.0
42.44297000,-76.4939300,138.0
42.44296000,-76.4937600,139.0
42.44297000,-76.4935900,140.0
42.44299000,-76.4934700,140.0
42.44301000,-76.4932400,140.0
42.44303000,-76.4931500,140.0
42.44307000,-76.4929600,143.0
42.44310000,-76.4928300,147.0
42.44314000,-76.4926900,150.0
42.44315000,-76.4925700,152.0
42.44316000,-76.4924900,154.0
42.44317000,-76.4924000,155.0
42.44316000,-76.4922800,158.0
42.44310000,-76.4921900,158.0
42.44305000,-76.4921600,159.0
42.44295000,-76.4922100,159.0
42.44288000,-76.4922200,160.0
42.44283000,-76.4922200,161.0
42.44279000,-76.4921700,162.0
42.44279000,-76.4920300,164.0
42.44283000,-76.4919500,165.0
42.44287000,-76.4918100,167.0
42.44296000,-76.4917000,168.0
42.44303000,-76.4915100,171.0
42.44307000,-76.4913300,173.0
42.44311000,-76.4911100,174.0
42.44321000,-76.4905300,177.0
42.44331000,-76.4900400,181.0
42.44330000,-76.4897100,183.0
42.44333000,-76.4894600,183.0
42.44336000,-76.4893100,185.0
42.44337000,-76.4892400,186.0
42.44333000,-76.4892000,186.0
42.44328000,-76.4890000,189.0
42.44326000,-76.4888000,193.0
42.44325000,-76.4885900,198.0
42.44322000,-76.4884500,200.0
42.44316000,-76.4883100,201.0
42.44310000,-76.4881700,203.0
42.44306000,-76.4879700,204.0
42.44304000,-76.4878400,205.0
42.44305000,-76.4876800,205.0
42.44306000,-76.4874200,207.0
42.44306000,-76.4870500,211.0
42.44305000,-76.4866900,217.0
42.44305000,-76.4863200,223.0
42.44304000,-76.4861500,223.0
42.44304000,-76.4858900,221.0
42.44303000,-76.4857500,222.0
42.44303000,-76.4855600,224.0
42.44299000,-76.4854800,225.0
42.44296000,-76.4855400,224.0
42.44291000,-76.4856800,224.0
42.44287000,-76.4858600,224.0
42.44284000,-76.4860000,224.0
42.44280000,-76.4860600,224.0
42.44280000,-76.4859700,224.0
42.44281000,-76.4857900,225.0
42.44285000,-76.4856200,225.0
42.44289000,-76.4855200,225.0
42.44294000,-76.4854800,225.0
42.44298000,-76.4856700,223.0
42.44299000,-76.4857500,222.0
42.44300000,-76.4860300,222.0
42.44301000,-76.4862000,223.0
42.44303000,-76.4865800,220.0
42.44305000,-76.4869400,213.0
42.44305000,-76.4873000,209.0
42.44305000,-76.4875600,206.0
42.44304000,-76.4877100,205.0
42.44304000,-76.4878400,205.0
42.44304000,-76.4880400,205.0
42.44306000,-76.4881700,204.0
42.44310000,-76.4883100,202.0
42.44316000,-76.4884500,200.0
42.44319000,-76.4886500,198.0
42.44321000,-76.4888500,193.0
42.44323000,-76.4891200,188.0
42.44331000,-76.4891700,187.0
42.44336000,-76.4891800,186.0
42.44336000,-76.4893300,185.0
42.44336000,-76.4895800,183.0
42.44338000,-76.4899400,181.0
42.44334000,-76.4904300,176.0
42.44324000,-76.4910000,173.0
42.44319000,-76.4912100,172.0
42.44315000,-76.4913900,172.0
42.44310000,-76.4915700,169.0
42.44301000,-76.4916700,168.0
42.44294000,-76.4918100,166.0
42.44286000,-76.4918900,166.0
42.44280000,-76.4920000,164.0
42.44277000,-76.4920800,164.0
42.44278000,-76.4921600,162.0
42.44283000,-76.4921900,161.0
42.44290000,-76.4921400,161.0
42.44296000,-76.4921400,160.0
42.44307000,-76.4921900,158.0
42.44313000,-76.4922600,158.0
42.44315000,-76.4923500,156.0
42.44315000,-76.4924300,155.0
42.44315000,-76.4925100,153.0
42.44316000,-76.4926800,150.0
42.44315000,-76.4928100,147.0
42.44312000,-76.4930100,142.0
42.44310000,-76.4931000,140.0
42.44307000,-76.4933300,139.0
42.44303000,-76.4934400,139.0
42.44299000,-76.4936100,139.0
42.44298000,-76.4937800,138.0
42.44299000,-76.4938400,138.0
42.44295000,-76.4939500,138.0
42.44291000,-76.4940100,138.0
42.44296000,-76.4941300,136.0
42.44297000,-76.4942300,134.0
42.44299000,-76.4943500,132.0
42.44307000,-76.4945600,130.0
