Latitude,Longitude,Elevation
42.46280000,-76.5023900,123.0
42.46279000,-76.5024000,123.0
42.46270000,-76.5026700,123.0
42.46250000,-76.5033700,121.0
42.46228000,-76.5035600,117.0
42.46178000,-76.5046400,120.0
42.46169000,-76.5050800,120.0
42.46135000,-76.5058500,121.0
42.46061000,-76.5078200,121.0
42.46086000,-76.5082500,119.0
42.46087000,-76.5085500,115.0
42.46095000,-76.5088000,115.0
42.46091000,-76.5091200,115.0
42.46089000,-76.5093500,115.0
42.46067000,-76.5096300,115.0
42.46043000,-76.5094800,115.0
42.46034000,-76.5093100,116.0
42.46020000,-76.5092800,116.0
42.46003000,-76.5089600,117.0
42.45998000,-76.5085000,117.0
42.46002000,-76.5082000,118.0
42.45959000,-76.5068100,121.0
42.45967000,-76.5067000,122.0
42.45959000,-76.5062300,123.0
42.45935000,-76.5058900,121.0
42.45917000,-76.5059200,122.0
42.45910000,-76.5059000,122.0
42.45906000,-76.5058600,122.0
42.45881000,-76.5052800,126.0
42.45879000,-76.5052700,126.0
42.45857000,-76.5051100,126.0
42.45844000,-76.5047600,129.0
42.45832000,-76.5043900,131.0
42.45815000,-76.5042300,128.0
42.45800000,-76.5039400,127.0
42.45782000,-76.5034600,125.0
42.45787000,-76.5029800,127.0
42.45776000,-76.5026600,127.0
42.45761000,-76.5024300,125.0
42.45734000,-76.5024200,123.0
42.45697000,-76.5022600,123.0
42.45668000,-76.5020400,124.0
42.45642000,-76.5018700,122.0
42.45618000,-76.5016200,122.0
42.45586000,-76.5013800,124.0
42.45562000,-76.5011300,125.0
42.45643000,-76.5018400,122.0
42.45733000,-76.5024100,123.0
42.45767000,-76.5024400,126.0
42.45786000,-76.5029100,127.0
42.45786000,-76.5034400,125.0
42.45814000,-76.5042600,128.0
42.45829000,-76.5043600,130.0
42.45859000,-76.5051000,127.0
42.45842000,-76.5052600,124.0
42.45842000,-76.5052700,124.0
42.45860000,-76.5052100,126.0
42.45869000,-76.5052200,126.0
42.45875000,-76.5052400,126.0
42.45879000,-76.5052700,126.0
42.45894000,-76.5051400,128.0
42.45901000,-76.5048000,132.0
42.45931000,-76.5045400,129.0
42.45950000,-76.5041400,128.0
42.45957000,-76.5033800,133.0
42.45984000,-76.5027900,135.0
42.46030000,-76.5025600,130.0
42.46063000,-76.5020600,129.0
42.46091000,-76.5022400,127.0
42.46068000,-76.5025600,125.0
42.46053000,-76.5030400,125.0
42.46047000,-76.5034800,123.0
42.46046000,-76.5042600,121.0
42.46046000,-76.5047200,121.0
42.46089000,-76.5050900,122.0
42.46141000,-76.5054500,122.0
42.46187000,-76.5045300,119.0
42.46229000,-76.5034600,118.0
42.46252000,-76.5033800,121.0
42.46280000,-76.5023900,123.0
