Latitude,Longitude,Elevation
42.46317000,-76.4271200,312.0
42.46323000,-76.4270900,311.0
42.46327000,-76.4266700,308.0
42.46352000,-76.4266400,308.0
42.46368000,-76.4261900,310.0
42.46360000,-76.4253600,319.0
42.46357000,-76.4252400,320.0
42.46354000,-76.4252600,321.0
42.46344000,-76.4248300,320.0
42.46332000,-76.4244300,320.0
42.46300000,-76.4244100,321.0
42.46314000,-76.4238000,319.0
42.46327000,-76.4231800,319.0
42.46341000,-76.4225700,316.0
42.46354000,-76.4219600,317.0
42.46377000,-76.4214300,315.0
42.46399000,-76.4209100,317.0
42.46422000,-76.4203800,319.0
42.46444000,-76.4198500,320.0
42.46481000,-76.4193200,320.0
42.46517000,-76.4187800,320.0
42.46555000,-76.4182600,317.0
42.46592000,-76.4177400,320.0
42.46629000,-76.4172700,318.0
42.46665000,-76.4168100,319.0
42.46702000,-76.4163500,318.0
42.46738000,-76.4158800,319.0
42.46781000,-76.4153600,323.0
42.46812000,-76.4153800,323.0
42.46842000,-76.4156800,321.0
42.46835000,-76.4160700,320.0
42.46847000,-76.4168700,317.0
42.46890000,-76.4174600,317.0
42.46953000,-76.4177800,318.0
42.47001000,-76.4184800,320.0
42.47013000,-76.4189300,320.0
42.47072000,-76.4190800,310.0
42.47100000,-76.4190700,304.0
42.47153000,-76.4198300,300.0
42.47168000,-76.4205200,306.0
42.47158000,-76.4208500,306.0
42.47122000,-76.4214900,306.0
42.47128000,-76.4218600,307.0
42.47122000,-76.4221800,306.0
42.47123000,-76.4224500,306.0
42.47115000,-76.4232100,305.0
42.47116000,-76.4237300,306.0
42.47119000,-76.4243600,308.0
42.47124000,-76.4247900,309.0
42.47101000,-76.4252600,306.0
42.47094000,-76.4255900,307.0
42.47101000,-76.4261400,311.0
42.47098000,-76.4263100,312.0
42.47090000,-76.4267900,315.0
42.47089000,-76.4270000,317.0
42.47040000,-76.4272800,322.0
42.47008000,-76.4272400,322.0
42.46942000,-76.4272500,322.0
42.46915000,-76.4272400,322.0
42.46885000,-76.4274400,326.0
42.46872000,-76.4276400,327.0
42.46868000,-76.4280700,326.0
42.46838000,-76.4281000,320.0
42.46869000,-76.4289200,320.0
42.46859000,-76.4292900,318.0
42.46839000,-76.4297600,317.0
42.46831000,-76.4307400,312.0
42.46812000,-76.4312700,311.0
42.46795000,-76.4316400,313.0
42.46793000,-76.4321900,320.0
42.46797000,-76.4326100,323.0
42.46825000,-76.4329300,325.0
42.46816000,-76.4331100,326.0
42.46788000,-76.4332800,324.0
42.46754000,-76.4336300,320.0
42.46743000,-76.4337500,317.0
42.46734000,-76.4341100,316.0
42.46758000,-76.4344200,320.0
42.46771000,-76.4348200,321.0
42.46815000,-76.4353800,320.0
42.46839000,-76.4351800,319.0
42.46863000,-76.4353500,319.0
42.46864000,-76.4357100,322.0
42.46877000,-76.4360000,321.0
42.46912000,-76.4361900,320.0
42.46912000,-76.4365200,321.0
42.46902000,-76.4366700,321.0
42.46927000,-76.4369700,322.0
42.46958000,-76.4374300,318.0
42.46966000,-76.4379200,313.0
42.46908000,-76.4373300,321.0
42.46904000,-76.4370200,322.0
42.46855000,-76.4368100,319.0
42.46828000,-76.4363000,320.0
42.46777000,-76.4361500,320.0
42.46725000,-76.4359900,323.0
42.46694000,-76.4355200,319.0
42.46654000,-76.4351700,307.0
42.46616000,-76.4357200,304.0
42.46577000,-76.4362800,298.0
42.46552000,-76.4366700,295.0
42.46481000,-76.4369100,292.0
