Latitude,Longitude,Elevation
42.44210000,-76.5129500,115.0
42.44217000,-76.5129800,115.0
42.44249000,-76.5129400,116.0
42.44260000,-76.5129700,117.0
42.44265000,-76.5130100,117.0
42.44271000,-76.5130400,117.0
42.44276000,-76.5130600,116.0
42.44283000,-76.5130900,116.0
42.44288000,-76.5131300,115.0
42.44292000,-76.5131700,115.0
42.44296000,-76.5132000,115.0
42.44300000,-76.5132300,115.0
42.44305000,-76.5132700,115.0
42.44309000,-76.5133300,114.0
42.44314000,-76.5133800,114.0
42.44319000,-76.5134500,114.0
42.44323000,-76.5135000,115.0
42.44327000,-76.5135400,115.0
42.44332000,-76.5136200,115.0
42.44335000,-76.5136700,115.0
42.44339000,-76.5137100,115.0
42.44343000,-76.5137700,115.0
42.44347000,-76.5138200,115.0
42.44352000,-76.5138700,115.0
42.44356000,-76.5139200,115.0
42.44361000,-76.5139500,115.0
42.44365000,-76.5139800,115.0
42.44369000,-76.5140400,115.0
42.44373000,-76.5140700,115.0
42.44377000,-76.5141000,115.0
42.44378000,-76.5141100,115.0
42.44431000,-76.5140500,116.0
42.44444000,-76.5140500,116.0
42.44455000,-76.5140200,116.0
42.44465000,-76.5140000,116.0
42.44474000,-76.5139800,115.0
42.44480000,-76.5139800,115.0
42.44487000,-76.5139600,115.0
42.44492000,-76.5139600,115.0
42.44498000,-76.5139400,115.0
42.44503000,-76.5139200,115.0
42.44507000,-76.5139000,116.0
42.44515000,-76.5139000,116.0
42.44522000,-76.5138700,116.0
42.44526000,-76.5138700,116.0
42.44533000,-76.5138500,117.0
42.44539000,-76.5138300,117.0
42.44544000,-76.5138100,118.0
42.44550000,-76.5138100,119.0
42.44560000,-76.5137900,119.0
42.44564000,-76.5137900,119.0
42.44569000,-76.5137700,118.0
42.44574000,-76.5137500,118.0
42.44579000,-76.5137500,118.0
42.44585000,-76.5137200,117.0
42.44590000,-76.5137000,117.0
42.44594000,-76.5137000,117.0
42.44601000,-76.5136800,116.0
42.44607000,-76.5136800,116.0
42.44615000,-76.5136600,116.0
42.44623000,-76.5136200,116.0
42.44629000,-76.5136000,116.0
42.44634000,-76.5136000,116.0
42.44640000,-76.5135700,116.0
42.44647000,-76.5135500,116.0
42.44653000,-76.5135300,116.0
42.44659000,-76.5135300,117.0
42.44667000,-76.5135100,117.0
42.44674000,-76.5134900,117.0
42.44678000,-76.5134700,117.0
42.44683000,-76.5134700,117.0
42.44688000,-76.5134500,116.0
42.44693000,-76.5134500,116.0
42.44697000,-76.5134200,116.0
42.44704000,-76.5134000,116.0
42.44710000,-76.5133800,116.0
42.44715000,-76.5133800,116.0
42.44721000,-76.5133600,117.0
42.44727000,-76.5133200,117.0
42.44734000,-76.5133000,117.0
42.44739000,-76.5132500,116.0
42.44743000,-76.5132300,116.0
42.44748000,-76.5131900,116.0
42.44754000,-76.5131400,115.0
42.44759000,-76.5131200,115.0
42.44764000,-76.5131000,115.0
42.44765000,-76.5131000,115.0
42.44807000,-76.5130200,118.0
42.44811000,-76.5129900,117.0
42.44816000,-76.5129500,116.0
42.44821000,-76.5129300,116.0
42.44826000,-76.5128900,115.0
42.44830000,-76.5128700,115.0
42.44837000,-76.5128200,115.0
42.44841000,-76.5128000,115.0
42.44846000,-76.5127800,115.0
42.44851000,-76.5127600,115.0
42.44856000,-76.5127400,115.0
42.44862000,-76.5127200,115.0
42.44868000,-76.5126900,116.0
42.44873000,-76.5126700,116.0
42.44879000,-76.5126300,116.0
42.44886000,-76.5126100,116.0
42.44892000,-76.5125700,115.0
42.44898000,-76.5125200,115.0
42.44905000,-76.5125000,115.0
42.44911000,-76.5124600,115.0
42.44917000,-76.5124200,115.0
42.44922000,-76.5123900,115.0
42.44927000,-76.5123700,115.0
42.44932000,-76.5123300,115.0
42.44936000,-76.5123100,115.0
42.44941000,-76.5122700,115.0
42.44946000,-76.5122400,115.0
42.44951000,-76.5122200,115.0
42.44957000,-76.5122000,115.0
42.44963000,-76.5121600,116.0
42.44968000,-76.5121200,116.0
42.44973000,-76.5120900,116.0
42.44978000,-76.5120700,115.0
42.44982000,-76.5120500,115.0
42.44989000,-76.5120300,115.0
42.44993000,-76.5119900,115.0
42.44998000,-76.5119900,115.0
42.45003000,-76.5119600,115.0
42.45008000,-76.5119400,116.0
42.45014000,-76.5119400,117.0
42.45020000,-76.5119000,117.0
42.45025000,-76.5118800,117.0
42.45030000,-76.5118800,118.0
42.45036000,-76.5118400,117.0
42.45041000,-76.5118100,117.0
42.45044000,-76.5118100,117.0
42.45077000,-76.5117900,116.0
42.45085000,-76.5117900,116.0
42.45095000,-76.5118600,118.0
42.45106000,-76.5119200,119.0
42.45114000,-76.5119600,120.0
42.45120000,-76.5120100,120.0
42.45125000,-76.5120300,121.0
42.45130000,-76.5120500,121.0
42.45134000,-76.5120900,121.0
42.45141000,-76.5121200,121.0
42.45145000,-76.5121400,121.0
42.45150000,-76.5121600,121.0
42.45157000,-76.5121600,121.0
42.45161000,-76.5121600,120.0
42.45169000,-76.5121600,119.0
42.45174000,-76.5121600,119.0
42.45179000,-76.5121400,117.0
42.45183000,-76.5120900,116.0
42.45188000,-76.5120500,115.0
42.45195000,-76.5120100,115.0
42.45199000,-76.5119400,115.0
42.45204000,-76.5119200,115.0
42.45209000,-76.5118800,115.0
42.45214000,-76.5118800,115.0
42.45218000,-76.5118600,115.0
42.45225000,-76.5118400,115.0
42.45229000,-76.5118400,115.0
42.45234000,-76.5118400,115.0
42.45240000,-76.5118400,115.0
42.45245000,-76.5118800,115.0
42.45250000,-76.5119200,115.0
42.45252000,-76.5119900,115.0
42.45255000,-76.5120500,116.0
42.45255000,-76.5121200,117.0
42.45255000,-76.5121800,117.0
42.45255000,-76.5122400,118.0
42.45258000,-76.5123100,117.0
42.45263000,-76.5123700,117.0
42.45267000,-76.5124200,116.0
42.45274000,-76.5124200,116.0
42.45278000,-76.5124600,116.0
42.45283000,-76.5124800,116.0
42.45288000,-76.5125200,116.0
42.45293000,-76.5125400,116.0
42.45297000,-76.5125700,116.0
42.45302000,-76.5125900,116.0
42.45307000,-76.5125900,115.0
42.45310000,-76.5125900,115.0
42.45350000,-76.5122400,115.0
42.45354000,-76.5122200,115.0
42.45361000,-76.5122000,115.0
42.45367000,-76.5121600,116.0
42.45372000,-76.5121600,116.0
42.45378000,-76.5121400,116.0
42.45386000,-76.5121400,116.0
42.45394000,-76.5121200,115.0
42.45402000,-76.5121200,115.0
42.45407000,-76.5121200,115.0
42.45411000,-76.5120900,115.0
42.45416000,-76.5120900,115.0
42.45421000,-76.5120900,115.0
42.45427000,-76.5120900,115.0
42.45432000,-76.5120900,115.0
42.45437000,-76.5120900,115.0
42.45443000,-76.5120900,115.0
42.45449000,-76.5120900,115.0
42.45456000,-76.5121200,116.0
42.45462000,-76.5121400,117.0
42.45467000,-76.5121600,117.0
42.45472000,-76.5121800,117.0
