Latitude,Longitude,Elevation
42.52128000,-76.5024700,260.0
42.52151000,-76.5024500,262.0
42.52163000,-76.5025300,264.0
42.52171000,-76.5027000,263.0
42.52175000,-76.5027800,263.0
42.52179000,-76.5028800,261.0
42.52187000,-76.5029100,262.0
42.52203000,-76.5029200,261.0
42.52212000,-76.5029400,259.0
42.52219000,-76.5030900,258.0
42.52212000,-76.5032700,258.0
42.52217000,-76.5033800,258.0
42.52227000,-76.5034200,257.0
42.52253000,-76.5035300,253.0
42.52276000,-76.5036100,245.0
42.52289000,-76.5038400,243.0
42.52308000,-76.5041100,242.0
42.52318000,-76.5040400,239.0
42.52313000,-76.5037400,237.0
42.52291000,-76.5033500,239.0
42.52277000,-76.5031200,241.0
42.52269000,-76.5028500,242.0
42.52252000,-76.5024900,245.0
42.52259000,-76.5021700,245.0
42.52249000,-76.5018100,244.0
42.52244000,-76.5015200,246.0
42.52248000,-76.5012100,244.0
42.52255000,-76.5009900,244.0
42.52262000,-76.5008400,246.0
42.52276000,-76.5007000,248.0
42.52268000,-76.5007800,247.0
42.52260000,-76.5009100,245.0
42.52255000,-76.5010800,243.0
42.52245000,-76.5014100,246.0
42.52248000,-76.5017000,245.0
42.52255000,-76.5020700,245.0
42.52247000,-76.5023900,247.0
42.52256000,-76.5027400,244.0
42.52262000,-76.5030100,244.0
42.52281000,-76.5032300,240.0
42.52308000,-76.5037000,237.0
42.52318000,-76.5040300,239.0
42.52314000,-76.5041300,241.0
42.52295000,-76.5039000,242.0
42.52287000,-76.5037100,243.0
42.52269000,-76.5036500,248.0
42.52240000,-76.5035400,255.0
42.52225000,-76.5035000,258.0
42.52219000,-76.5034200,258.0
42.52227000,-76.5032500,256.0
42.52221000,-76.5030500,258.0
42.52216000,-76.5030000,258.0
42.52201000,-76.5029800,260.0
42.52191000,-76.5029600,261.0
42.52185000,-76.5028900,262.0
42.52180000,-76.5028100,263.0
42.52172000,-76.5026300,264.0
42.52157000,-76.5025400,263.0
42.52128000,-76.5024700,260.0
