Latitude,Longitude,Elevation
42.45244000,-76.4856500,222.0
42.45242000,-76.4860400,219.0
42.45238000,-76.4860600,218.0
42.45223000,-76.4860600,217.0
42.45200000,-76.4860800,221.0
42.45175000,-76.4860900,230.0
42.45168000,-76.4861200,233.0
42.45163000,-76.4862100,234.0
42.45163000,-76.4862200,234.0
42.45157000,-76.4863500,235.0
42.45154000,-76.4864000,235.0
42.45152000,-76.4865200,235.0
42.45152000,-76.4866500,234.0
42.45155000,-76.4868700,230.0
42.45152000,-76.4869300,231.0
42.45147000,-76.4869800,232.0
42.45141000,-76.4870100,234.0
42.45135000,-76.4870200,236.0
42.45129000,-76.4870800,236.0
42.45129000,-76.4870900,236.0
42.45127000,-76.4871400,236.0
42.45127000,-76.4872700,235.0
42.45130000,-76.4873600,233.0
42.45130000,-76.4873700,233.0
42.45132000,-76.4874900,232.0
42.45134000,-76.4875600,232.0
42.45136000,-76.4876900,230.0
42.45138000,-76.4878100,230.0
42.45139000,-76.4879200,230.0
42.45147000,-76.4880000,228.0
42.45152000,-76.4880600,227.0
42.45158000,-76.4881200,226.0
42.45161000,-76.4882400,226.0
42.45165000,-76.4883900,226.0
42.45170000,-76.4885200,224.0
42.45175000,-76.4885800,223.0
42.45178000,-76.4886500,222.0
42.45182000,-76.4889200,220.0
42.45182000,-76.4890300,219.0
42.45182000,-76.4890900,219.0
42.45183000,-76.4891700,219.0
42.45183000,-76.4892400,218.0
42.45183000,-76.4892500,218.0
42.45183000,-76.4892900,218.0
42.45183000,-76.4893000,218.0
42.45186000,-76.4893700,217.0
42.45189000,-76.4894800,216.0
42.45193000,-76.4895600,214.0
42.45199000,-76.4895900,212.0
42.45202000,-76.4896200,211.0
42.45205000,-76.4896900,208.0
42.45209000,-76.4897900,206.0
42.45205000,-76.4896900,208.0
42.45202000,-76.4896200,211.0
42.45199000,-76.4895900,212.0
42.45193000,-76.4895600,214.0
42.45189000,-76.4894800,216.0
42.45186000,-76.4893700,217.0
42.45183000,-76.4893000,218.0
42.45183000,-76.4892900,218.0
42.45183000,-76.4892500,218.0
42.45183000,-76.4892400,218.0
42.45183000,-76.4891700,219.0
42.45182000,-76.4890900,219.0
42.45182000,-76.4890300,219.0
42.45182000,-76.4889200,220.0
42.45178000,-76.4886500,222.0
42.45175000,-76.4885800,223.0
42.45170000,-76.4885200,224.0
42.45165000,-76.4883900,226.0
42.45161000,-76.4882400,226.0
42.45158000,-76.4881200,226.0
42.45152000,-76.4880600,227.0
42.45147000,-76.4880000,228.0
42.45139000,-76.4879200,230.0
42.45138000,-76.4878100,230.0
42.45136000,-76.4876900,230.0
42.45134000,-76.4875600,232.0
42.45132000,-76.4874900,232.0
42.45130000,-76.4873700,233.0
42.45130000,-76.4873600,233.0
42.45127000,-76.4872700,235.0
42.45127000,-76.4871400,236.0
42.45129000,-76.4870900,236.0
42.45129000,-76.4870800,236.0
42.45135000,-76.4870200,236.0
42.45141000,-76.4870100,234.0
42.45147000,-76.4869800,232.0
42.45152000,-76.4869300,231.0
42.45155000,-76.4868700,230.0
42.45152000,-76.4866500,234.0
42.45152000,-76.4865200,235.0
42.45154000,-76.4864000,235.0
42.45157000,-76.4863500,235.0
42.45163000,-76.4862200,234.0
42.45163000,-76.4862100,234.0
42.45168000,-76.4861200,233.0
42.45175000,-76.4860900,230.0
42.45200000,-76.4860800,221.0
42.45223000,-76.4860600,217.0
42.45238000,-76.4860600,218.0
42.45242000,-76.4860400,219.0
42.45244000,-76.4856500,222.0
