Latitude,Longitude,Elevation
42.45303000,-76.4946000,126.0
42.45303000,-76.4944800,127.0
42.45302000,-76.4943600,128.0
42.45294000,-76.4943100,129.0
42.45291000,-76.4942400,130.0
42.45291000,-76.4941800,130.0
42.45301000,-76.4940800,130.0
42.45305000,-76.4939600,131.0
42.45307000,-76.4937500,133.0
42.45303000,-76.4934900,137.0
42.45300000,-76.4932400,139.0
42.45296000,-76.4931000,140.0
42.45290000,-76.4929900,143.0
42.45286000,-76.4928700,144.0
42.45290000,-76.4929900,143.0
42.45296000,-76.4931000,140.0
42.45300000,-76.4932400,139.0
42.45303000,-76.4934900,137.0
42.45307000,-76.4937500,133.0
42.45305000,-76.4939600,131.0
42.45301000,-76.4940800,130.0
42.45291000,-76.4941800,130.0
42.45291000,-76.4942400,130.0
42.45294000,-76.4943100,129.0
42.45302000,-76.4943600,128.0
42.45303000,-76.4944800,127.0
42.45303000,-76.4946000,126.0
