Latitude,Longitude,Elevation
42.41706000,-76.5210700,136.0
42.41706000,-76.5210600,136.0
42.41698000,-76.5210700,136.0
42.41693000,-76.5210900,136.0
42.41688000,-76.5211100,135.0
42.41684000,-76.5211200,135.0
42.41680000,-76.5211000,135.0
42.41675000,-76.5210700,135.0
42.41671000,-76.5210400,135.0
42.41666000,-76.5210400,135.0
42.41662000,-76.5210700,136.0
42.41659000,-76.5211100,136.0
42.41654000,-76.5211400,138.0
42.41649000,-76.5211800,139.0
42.41645000,-76.5212200,140.0
42.41641000,-76.5212700,142.0
42.41638000,-76.5213100,143.0
42.41633000,-76.5212900,146.0
42.41631000,-76.5212400,147.0
42.41630000,-76.5211800,147.0
42.41628000,-76.5211100,148.0
42.41627000,-76.5210400,148.0
42.41626000,-76.5209900,149.0
42.41621000,-76.5209400,152.0
42.41616000,-76.5208800,155.0
42.41612000,-76.5208200,157.0
42.41606000,-76.5207300,162.0
42.41602000,-76.5206400,165.0
42.41599000,-76.5206000,167.0
42.41592000,-76.5204900,170.0
42.41592000,-76.5204200,171.0
42.41592000,-76.5203000,171.0
42.41589000,-76.5202200,173.0
42.41581000,-76.5200900,177.0
42.41575000,-76.5201000,180.0
42.41575000,-76.5202100,179.0
42.41575000,-76.5202800,179.0
42.41574000,-76.5203500,180.0
42.41569000,-76.5203900,183.0
42.41564000,-76.5203700,185.0
42.41560000,-76.5203400,187.0
42.41554000,-76.5202900,191.0
42.41548000,-76.5202100,193.0
42.41540000,-76.5200900,197.0
42.41532000,-76.5199300,199.0
42.41528000,-76.5198600,200.0
42.41520000,-76.5197500,203.0
42.41506000,-76.5196100,210.0
42.41493000,-76.5194200,214.0
42.41492000,-76.5194200,215.0
42.41466000,-76.5193200,225.0
42.41455000,-76.5192200,230.0
42.41453000,-76.5191700,231.0
42.41443000,-76.5189900,236.0
42.41436000,-76.5189300,238.0
42.41413000,-76.5187100,240.0
42.41407000,-76.5186800,241.0
42.41392000,-76.5185700,243.0
42.41388000,-76.5185400,244.0
42.41376000,-76.5183900,246.0
42.41374000,-76.5183400,246.0
42.41351000,-76.5181800,249.0
42.41348000,-76.5181500,249.0
42.41338000,-76.5180500,249.0
42.41333000,-76.5180200,249.0
42.41326000,-76.5179400,251.0
42.41320000,-76.5179000,252.0
42.41315000,-76.5178800,253.0
42.41310000,-76.5178600,253.0
42.41306000,-76.5178400,254.0
42.41301000,-76.5178200,255.0
42.41296000,-76.5178000,256.0
42.41291000,-76.5177800,257.0
42.41283000,-76.5177300,259.0
42.41274000,-76.5176800,261.0
42.41264000,-76.5176000,261.0
42.41256000,-76.5175500,260.0
42.41251000,-76.5175300,260.0
42.41247000,-76.5175000,259.0
42.41242000,-76.5174800,259.0
42.41236000,-76.5174500,259.0
42.41231000,-76.5174300,259.0
42.41226000,-76.5173900,259.0
42.41218000,-76.5173100,258.0
42.41206000,-76.5172100,257.0
42.41202000,-76.5171800,257.0
42.41197000,-76.5171200,257.0
42.41185000,-76.5170300,259.0
42.41181000,-76.5170000,259.0
42.41178000,-76.5170000,260.0
42.41168000,-76.5169300,260.0
42.41163000,-76.5169200,261.0
42.41154000,-76.5168700,262.0
42.41147000,-76.5168400,263.0
42.41139000,-76.5167600,264.0
42.41134000,-76.5166500,265.0
42.41129000,-76.5165100,267.0
42.41127000,-76.5164400,268.0
42.41126000,-76.5163900,268.0
42.41121000,-76.5162300,271.0
42.41119000,-76.5161700,271.0
