Latitude,Longitude,Elevation
42.39310000,-76.5100800,318.0
42.39316000,-76.5100400,318.0
42.39321000,-76.5100500,318.0
42.39326000,-76.5100700,319.0
42.39331000,-76.5100700,319.0
42.39336000,-76.5100700,319.0
42.39341000,-76.5100700,319.0
42.39346000,-76.5100600,319.0
42.39350000,-76.5100400,319.0
42.39354000,-76.5100100,319.0
42.39359000,-76.5099800,319.0
42.39363000,-76.5099600,319.0
42.39368000,-76.5099300,320.0
42.39373000,-76.5099000,320.0
42.39377000,-76.5098900,321.0
42.39378000,-76.5098900,321.0
42.39392000,-76.5097400,322.0
42.39397000,-76.5097100,322.0
42.39402000,-76.5096800,322.0
42.39407000,-76.5096500,323.0
42.39411000,-76.5096100,323.0
42.39415000,-76.5095800,323.0
42.39420000,-76.5095400,324.0
42.39423000,-76.5094900,324.0
42.39427000,-76.5094500,323.0
42.39431000,-76.5094000,323.0
42.39435000,-76.5093700,323.0
42.39439000,-76.5093200,323.0
42.39443000,-76.5092800,322.0
42.39445000,-76.5092200,322.0
42.39448000,-76.5091700,322.0
42.39451000,-76.5091200,321.0
42.39456000,-76.5090900,319.0
42.39460000,-76.5090500,318.0
42.39464000,-76.5090100,317.0
42.39466000,-76.5089500,316.0
42.39467000,-76.5088900,315.0
42.39471000,-76.5088400,315.0
42.39475000,-76.5087800,315.0
42.39479000,-76.5087200,315.0
42.39483000,-76.5086900,314.0
42.39487000,-76.5086700,314.0
42.39492000,-76.5086500,313.0
42.39496000,-76.5086300,312.0
42.39501000,-76.5086300,311.0
42.39505000,-76.5086000,312.0
42.39505000,-76.5085700,312.0
42.39511000,-76.5084800,314.0
42.39516000,-76.5084800,314.0
42.39523000,-76.5084600,314.0
42.39529000,-76.5084500,314.0
42.39533000,-76.5084500,313.0
42.39539000,-76.5084500,313.0
42.39545000,-76.5084500,312.0
42.39550000,-76.5084500,312.0
42.39555000,-76.5084400,312.0
42.39560000,-76.5084000,313.0
42.39566000,-76.5083700,313.0
42.39571000,-76.5083400,313.0
42.39575000,-76.5083400,313.0
42.39580000,-76.5083200,313.0
42.39584000,-76.5082900,314.0
