Latitude,Longitude,Elevation
42.39794000,-76.5460200,139.0
42.39796000,-76.5459000,139.0
42.39799000,-76.5457800,138.0
42.39807000,-76.5457000,138.0
42.39815000,-76.5456400,138.0
42.39822000,-76.5456600,139.0
42.39830000,-76.5456800,139.0
42.39835000,-76.5456600,140.0
42.39835000,-76.5456900,140.0
42.39835000,-76.5456500,140.0
42.39835000,-76.5455700,140.0
42.39839000,-76.5454800,140.0
42.39845000,-76.5453700,140.0
42.39848000,-76.5452700,140.0
42.39848000,-76.5452300,140.0
42.39848000,-76.5451400,140.0
42.39846000,-76.5450600,140.0
42.39844000,-76.5450000,140.0
42.39834000,-76.5449500,140.0
42.39824000,-76.5449100,140.0
42.39812000,-76.5448600,140.0
42.39800000,-76.5447600,141.0
42.39796000,-76.5446900,141.0
42.39788000,-76.5443600,144.0
42.39777000,-76.5439400,147.0
42.39766000,-76.5436600,144.0
42.39759000,-76.5434700,142.0
42.39746000,-76.5433600,140.0
42.39733000,-76.5432200,139.0
42.39732000,-76.5430800,138.0
42.39730000,-76.5429500,138.0
42.39729000,-76.5427900,138.0
42.39727000,-76.5426800,139.0
42.39726000,-76.5425700,141.0
42.39729000,-76.5424500,142.0
42.39732000,-76.5423700,143.0
42.39739000,-76.5422800,142.0
42.39745000,-76.5421800,142.0
42.39750000,-76.5421100,143.0
42.39753000,-76.5419700,146.0
42.39759000,-76.5418000,145.0
42.39767000,-76.5415700,145.0
42.39780000,-76.5410600,149.0
42.39793000,-76.5409100,151.0
42.39807000,-76.5407800,151.0
42.39819000,-76.5406600,152.0
42.39837000,-76.5405700,151.0
42.39853000,-76.5405100,151.0
42.39867000,-76.5404000,152.0
42.39881000,-76.5402900,151.0
42.39898000,-76.5402200,150.0
42.39918000,-76.5401700,149.0
42.39926000,-76.5401500,148.0
42.39934000,-76.5401300,148.0
42.39941000,-76.5401000,148.0
42.39950000,-76.5400800,148.0
42.39958000,-76.5400600,148.0
42.39966000,-76.5400500,149.0
42.39974000,-76.5400500,149.0
42.39982000,-76.5400500,149.0
42.39990000,-76.5400800,148.0
42.39998000,-76.5400900,148.0
42.40006000,-76.5400800,148.0
42.40012000,-76.5400000,148.0
42.40015000,-76.5398900,150.0
42.40017000,-76.5397800,152.0
42.40019000,-76.5396700,154.0
42.40021000,-76.5395500,155.0
42.40022000,-76.5394400,156.0
42.40022000,-76.5393100,158.0
42.40020000,-76.5392000,159.0
42.40019000,-76.5390900,161.0
42.40021000,-76.5389600,162.0
42.40025000,-76.5388500,163.0
42.40027000,-76.5387400,164.0
42.40033000,-76.5386500,165.0
42.40041000,-76.5386300,163.0
42.40037000,-76.5385400,165.0
42.40034000,-76.5385200,166.0
42.40033000,-76.5384700,167.0
42.40034000,-76.5384200,168.0
42.40037000,-76.5383800,167.0
42.40043000,-76.5383200,167.0
42.40047000,-76.5383000,167.0
42.40048000,-76.5382400,168.0
42.40042000,-76.5382200,170.0
42.40038000,-76.5382200,171.0
42.40032000,-76.5382300,172.0
42.40029000,-76.5382000,174.0
42.40030000,-76.5381400,176.0
42.40031000,-76.5380900,177.0
42.40034000,-76.5380500,177.0
42.40038000,-76.5380100,177.0
42.40041000,-76.5379600,178.0
42.40041000,-76.5379300,179.0
42.40040000,-76.5378800,181.0
42.40037000,-76.5378500,183.0
42.40033000,-76.5378400,184.0
42.40029000,-76.5378400,185.0
42.40025000,-76.5378600,185.0
42.40021000,-76.5378800,185.0
42.40017000,-76.5379000,185.0
42.40013000,-76.5379000,186.0
42.40009000,-76.5379200,186.0
42.40006000,-76.5379300,186.0
42.40002000,-76.5379400,187.0
42.39998000,-76.5379300,188.0
42.39994000,-76.5378900,190.0
42.39994000,-76.5378300,191.0
42.39996000,-76.5377800,192.0
42.39998000,-76.5377300,193.0
42.40001000,-76.5376800,194.0
42.40004000,-76.5376400,195.0
42.40007000,-76.5375900,196.0
42.40010000,-76.5375400,197.0
42.40014000,-76.5374900,198.0
42.40017000,-76.5374500,198.0
42.40020000,-76.5374000,199.0
42.40022000,-76.5373500,200.0
42.40023000,-76.5373100,201.0
42.40022000,-76.5372500,203.0
42.40018000,-76.5372200,205.0
42.40014000,-76.5372200,206.0
42.40010000,-76.5372200,207.0
42.40005000,-76.5372400,208.0
42.40002000,-76.5372500,208.0
42.39997000,-76.5372600,208.0
42.39993000,-76.5372700,208.0
42.39989000,-76.5372700,208.0
42.39985000,-76.5372700,208.0
42.39981000,-76.5372500,209.0
42.39981000,-76.5371900,210.0
42.39983000,-76.5371500,211.0
42.39985000,-76.5371000,213.0
42.39985000,-76.5370500,214.0
42.39982000,-76.5370000,215.0
42.39979000,-76.5369800,216.0
42.39975000,-76.5369800,216.0
42.39970000,-76.5369600,216.0
42.39967000,-76.5369300,217.0
42.39965000,-76.5368800,218.0
42.39966000,-76.5368300,219.0
42.39966000,-76.5367500,221.0
42.39965000,-76.5367000,222.0
42.39964000,-76.5366500,223.0
42.39962000,-76.5366100,223.0
42.39960000,-76.5365500,224.0
42.39962000,-76.5365000,225.0
42.39962000,-76.5364500,226.0
42.39960000,-76.5364000,227.0
42.39952000,-76.5362900,227.0
42.39948000,-76.5362500,227.0
42.39942000,-76.5361400,229.0
42.39939000,-76.5361000,229.0
42.39937000,-76.5360600,231.0
42.39935000,-76.5360100,233.0
42.39932000,-76.5359600,235.0
42.39930000,-76.5359200,236.0
42.39927000,-76.5358800,238.0
42.39924000,-76.5358500,239.0
42.39920000,-76.5358100,240.0
42.39896000,-76.5355000,256.0
42.39890000,-76.5354300,259.0
42.39890000,-76.5354200,260.0
42.39885000,-76.5353600,262.0
42.39874000,-76.5352600,265.0
42.39857000,-76.5352900,265.0
42.39844000,-76.5353000,265.0
42.39837000,-76.5353500,265.0
42.39829000,-76.5354000,265.0
42.39821000,-76.5354000,267.0
42.39812000,-76.5354000,268.0
42.39804000,-76.5353600,270.0
42.39797000,-76.5353000,272.0
42.39790000,-76.5352300,273.0
42.39782000,-76.5352000,274.0
42.39774000,-76.5351800,275.0
42.39763000,-76.5351400,276.0
42.39755000,-76.5351000,277.0
42.39746000,-76.5350600,278.0
42.39739000,-76.5350300,278.0
42.39732000,-76.5349800,279.0
42.39724000,-76.5349300,280.0
42.39716000,-76.5349000,281.0
42.39707000,-76.5348700,282.0
42.39700000,-76.5348300,282.0
42.39693000,-76.5347600,283.0
42.39688000,-76.5346500,285.0
42.39680000,-76.5344900,287.0
42.39673000,-76.5344400,288.0
42.39667000,-76.5343700,290.0
42.39648000,-76.5341300,294.0
42.39618000,-76.5338600,295.0
42.39611000,-76.5337800,294.0
42.39596000,-76.5336400,294.0
42.39588000,-76.5335900,294.0
42.39581000,-76.5335200,295.0
42.39575000,-76.5334500,295.0
42.39570000,-76.5333600,296.0
42.39558000,-76.5332600,298.0
42.39540000,-76.5330900,302.0
42.39537000,-76.5330600,302.0
42.39529000,-76.5329900,303.0
42.39516000,-76.5329000,303.0
42.39507000,-76.5328500,302.0
42.39500000,-76.5328200,301.0
42.39490000,-76.5327800,301.0
42.39482000,-76.5327100,301.0
42.39480000,-76.5325500,302.0
42.39470000,-76.5324200,303.0
42.39464000,-76.5323600,305.0
42.39448000,-76.5322300,308.0
42.39438000,-76.5321700,309.0
42.39426000,-76.5320100,311.0
42.39418000,-76.5318100,314.0
42.39412000,-76.5316600,315.0
42.39394000,-76.5315500,315.0
42.39374000,-76.5314700,315.0
42.39367000,-76.5314000,316.0
42.39359000,-76.5312200,317.0
42.39354000,-76.5311300,317.0
42.39345000,-76.5309400,317.0
42.39336000,-76.5308500,317.0
42.39323000,-76.5307100,317.0
42.39311000,-76.5304800,316.0
42.39297000,-76.5303300,315.0
42.39273000,-76.5302100,315.0
42.39262000,-76.5301500,316.0
42.39248000,-76.5300800,318.0
42.39232000,-76.5299500,321.0
42.39225000,-76.5297000,324.0
42.39220000,-76.5294700,329.0
42.39223000,-76.5292500,331.0
42.39190000,-76.5296800,328.0
42.39180000,-76.5297400,325.0
42.39165000,-76.5297400,323.0
42.39155000,-76.5296900,321.0
42.39145000,-76.5296900,319.0
42.39138000,-76.5296900,318.0
42.39133000,-76.5297300,317.0
42.39132000,-76.5297500,317.0
42.39129000,-76.5297900,317.0
42.39130000,-76.5298700,317.0
42.39134000,-76.5299400,317.0
42.39140000,-76.5300300,317.0
42.39147000,-76.5301100,319.0
42.39152000,-76.5301400,319.0
42.39162000,-76.5302400,320.0
42.39180000,-76.5303300,319.0
42.39194000,-76.5304200,319.0
42.39204000,-76.5305000,319.0
