Latitude,Longitude,Elevation
42.46301000,-76.4271200,312.0
42.46301000,-76.4271400,312.0
42.46323000,-76.4271600,312.0
42.46327000,-76.4266700,308.0
42.46352000,-76.4266400,308.0
42.46368000,-76.4261900,310.0
42.46360000,-76.4253600,319.0
42.46344000,-76.4248100,320.0
42.46330000,-76.4243900,320.0
42.46293000,-76.4244000,320.0
42.46309000,-76.4237900,319.0
42.46324000,-76.4231700,319.0
42.46340000,-76.4225600,316.0
42.46355000,-76.4219400,317.0
42.46379000,-76.4214200,315.0
42.46402000,-76.4209000,317.0
42.46425000,-76.4203700,319.0
42.46449000,-76.4198500,320.0
42.46485000,-76.4193100,320.0
42.46520000,-76.4187700,320.0
42.46580000,-76.4179400,319.0
42.46595000,-76.4177200,320.0
42.46631000,-76.4172600,318.0
42.46667000,-76.4168000,319.0
42.46704000,-76.4163400,318.0
42.46740000,-76.4158800,319.0
42.46783000,-76.4153400,323.0
42.46816000,-76.4153800,323.0
42.46846000,-76.4156900,321.0
42.46837000,-76.4161200,319.0
42.46853000,-76.4169100,318.0
42.46896000,-76.4175000,317.0
42.46957000,-76.4178300,319.0
42.47005000,-76.4185200,320.0
42.47009000,-76.4186700,320.0
42.47018000,-76.4189800,320.0
42.47036000,-76.4190200,318.0
42.47036000,-76.4194900,317.0
42.47040000,-76.4197300,316.0
42.47020000,-76.4202700,314.0
42.46970000,-76.4210400,319.0
42.46952000,-76.4216900,314.0
42.46934000,-76.4221700,317.0
42.46933000,-76.4224400,318.0
42.46945000,-76.4228200,317.0
42.46967000,-76.4232600,313.0
42.46979000,-76.4238400,309.0
42.47003000,-76.4241900,302.0
42.47029000,-76.4249000,304.0
42.47011000,-76.4254200,302.0
42.46983000,-76.4254500,302.0
42.46934000,-76.4252900,299.0
42.46927000,-76.4252000,300.0
42.46921000,-76.4251300,300.0
42.46918000,-76.4249900,301.0
42.46890000,-76.4249000,302.0
42.46874000,-76.4244100,301.0
42.46848000,-76.4240600,301.0
42.46830000,-76.4240000,301.0
42.46810000,-76.4236600,302.0
42.46745000,-76.4233100,300.0
42.46728000,-76.4232700,301.0
42.46710000,-76.4231000,302.0
42.46632000,-76.4235900,302.0
42.46603000,-76.4236300,299.0
42.46572000,-76.4234200,299.0
42.46518000,-76.4232900,297.0
42.46484000,-76.4234200,296.0
42.46457000,-76.4236200,295.0
42.46439000,-76.4238300,296.0
42.46424000,-76.4241300,297.0
42.46416000,-76.4246700,297.0
42.46395000,-76.4250700,303.0
42.46408000,-76.4259500,301.0
42.46402000,-76.4259900,303.0
42.46368000,-76.4261900,310.0
42.46352000,-76.4266400,308.0
42.46327000,-76.4266700,308.0
42.46323000,-76.4271600,312.0
42.46301000,-76.4271400,312.0
42.46301000,-76.4271200,312.0
