Latitude,Longitude,Elevation
42.45400000,-76.4565800,266.0
42.45398000,-76.4566300,266.0
42.45413000,-76.4562300,267.0
42.45415000,-76.4561600,267.0
42.45416000,-76.4561000,268.0
42.45419000,-76.4560400,268.0
42.45421000,-76.4559800,268.0
42.45423000,-76.4559200,268.0
42.45425000,-76.4558500,268.0
42.45427000,-76.4557700,269.0
42.45430000,-76.4557000,270.0
42.45432000,-76.4556500,270.0
42.45435000,-76.4556000,271.0
42.45439000,-76.4555300,272.0
42.45442000,-76.4554800,273.0
42.45445000,-76.4554200,274.0
42.45449000,-76.4553700,275.0
42.45453000,-76.4553400,275.0
42.45457000,-76.4553000,275.0
42.45461000,-76.4552600,275.0
42.45465000,-76.4552100,275.0
42.45470000,-76.4551300,275.0
42.45474000,-76.4550700,275.0
42.45478000,-76.4550100,274.0
42.45482000,-76.4549200,274.0
42.45485000,-76.4548400,273.0
42.45487000,-76.4547900,272.0
42.45490000,-76.4547300,272.0
42.45491000,-76.4546400,272.0
42.45491000,-76.4545500,272.0
42.45492000,-76.4544500,272.0
42.45493000,-76.4543700,272.0
42.45494000,-76.4542900,272.0
42.45494000,-76.4542200,272.0
42.45495000,-76.4541500,272.0
42.45495000,-76.4540700,273.0
42.45495000,-76.4539900,273.0
42.45495000,-76.4539200,273.0
42.45495000,-76.4539100,273.0
42.45491000,-76.4536400,274.0
42.45491000,-76.4535600,274.0
42.45490000,-76.4534700,275.0
42.45489000,-76.4534000,275.0
42.45489000,-76.4533200,275.0
42.45488000,-76.4532400,276.0
42.45487000,-76.4531500,276.0
42.45487000,-76.4530700,277.0
42.45487000,-76.4530100,277.0
42.45487000,-76.4529500,278.0
42.45487000,-76.4528700,278.0
42.45487000,-76.4528100,279.0
42.45487000,-76.4527400,279.0
42.45488000,-76.4526600,279.0
42.45490000,-76.4525900,279.0
42.45491000,-76.4525300,279.0
42.45492000,-76.4524600,279.0
42.45495000,-76.4523900,278.0
42.45496000,-76.4523200,278.0
42.45497000,-76.4522600,278.0
42.45499000,-76.4521900,278.0
42.45499000,-76.4521300,278.0
42.45502000,-76.4520800,277.0
42.45504000,-76.4520100,277.0
42.45507000,-76.4519500,276.0
42.45510000,-76.4518800,276.0
42.45511000,-76.4518100,276.0
42.45513000,-76.4517300,276.0
42.45513000,-76.4516600,277.0
42.45514000,-76.4515900,277.0
42.45516000,-76.4515400,277.0
42.45520000,-76.4515000,277.0
42.45522000,-76.4514400,277.0
42.45524000,-76.4513800,277.0
42.45525000,-76.4512900,278.0
42.45527000,-76.4512200,278.0
42.45529000,-76.4511900,278.0
42.45539000,-76.4510000,279.0
42.45544000,-76.4509700,278.0
42.45548000,-76.4509400,278.0
42.45552000,-76.4509100,277.0
42.45556000,-76.4508500,277.0
42.45559000,-76.4507900,277.0
42.45561000,-76.4507100,278.0
42.45563000,-76.4506500,278.0
42.45565000,-76.4505900,278.0
42.45565000,-76.4505200,278.0
42.45565000,-76.4504600,278.0
42.45564000,-76.4503900,279.0
42.45563000,-76.4503200,279.0
42.45560000,-76.4502400,280.0
42.45559000,-76.4501800,280.0
42.45556000,-76.4501100,280.0
42.45553000,-76.4500600,281.0
42.45549000,-76.4500100,281.0
