Latitude,Longitude,Elevation
42.41704000,-76.5214000,133.0
42.41704000,-76.5214100,133.0
42.41702000,-76.5214500,132.0
42.41705000,-76.5213200,133.0
42.41722000,-76.5209600,138.0
42.41711000,-76.5208200,141.0
42.41713000,-76.5207800,142.0
42.41711000,-76.5208200,141.0
42.41755000,-76.5200700,148.0
42.41752000,-76.5198700,155.0
42.41745000,-76.5197800,158.0
42.41743000,-76.5198000,158.0
42.41729000,-76.5198400,159.0
42.41720000,-76.5198300,160.0
42.41715000,-76.5198200,161.0
42.41710000,-76.5198000,162.0
42.41706000,-76.5197600,163.0
42.41705000,-76.5197000,164.0
42.41704000,-76.5196100,165.0
42.41704000,-76.5195400,166.0
42.41706000,-76.5194600,167.0
42.41706000,-76.5193700,168.0
42.41708000,-76.5192600,170.0
42.41711000,-76.5191700,171.0
42.41714000,-76.5191000,171.0
42.41718000,-76.5190500,172.0
42.41723000,-76.5189900,172.0
42.41728000,-76.5189600,172.0
42.41732000,-76.5189300,171.0
42.41737000,-76.5188700,172.0
42.41742000,-76.5187800,172.0
42.41745000,-76.5186800,174.0
42.41747000,-76.5186200,175.0
42.41750000,-76.5185400,175.0
42.41752000,-76.5184900,175.0
42.41756000,-76.5184300,175.0
42.41760000,-76.5183700,176.0
42.41764000,-76.5183200,176.0
42.41767000,-76.5182700,176.0
42.41771000,-76.5182100,176.0
42.41772000,-76.5181400,176.0
42.41773000,-76.5180700,176.0
42.41774000,-76.5180100,176.0
42.41772000,-76.5179400,176.0
42.41767000,-76.5178800,177.0
42.41767000,-76.5178100,176.0
42.41767000,-76.5177500,177.0
42.41770000,-76.5176900,176.0
42.41775000,-76.5176600,176.0
42.41779000,-76.5176600,175.0
42.41785000,-76.5176400,175.0
42.41785000,-76.5175800,175.0
42.41785000,-76.5174800,176.0
42.41787000,-76.5174300,177.0
42.41791000,-76.5173800,177.0
42.41792000,-76.5173200,178.0
42.41788000,-76.5172600,180.0
42.41783000,-76.5172200,181.0
42.41779000,-76.5171900,182.0
42.41774000,-76.5171400,183.0
42.41769000,-76.5170700,185.0
42.41766000,-76.5170200,186.0
42.41763000,-76.5169500,187.0
42.41759000,-76.5168900,188.0
42.41757000,-76.5168200,189.0
42.41756000,-76.5168100,190.0
42.41732000,-76.5163500,195.0
42.41728000,-76.5162600,197.0
42.41723000,-76.5160800,200.0
42.41722000,-76.5160200,202.0
42.41720000,-76.5159300,204.0
42.41717000,-76.5158200,206.0
42.41713000,-76.5157200,208.0
42.41705000,-76.5156300,210.0
42.41695000,-76.5155500,213.0
42.41691000,-76.5155100,214.0
42.41679000,-76.5154200,216.0
42.41673000,-76.5153800,217.0
42.41664000,-76.5151500,221.0
42.41659000,-76.5150200,223.0
42.41655000,-76.5148900,225.0
42.41652000,-76.5148200,225.0
42.41647000,-76.5146900,227.0
42.41645000,-76.5146400,228.0
42.41641000,-76.5145700,229.0
42.41638000,-76.5145200,230.0
42.41634000,-76.5144500,231.0
42.41630000,-76.5143900,232.0
42.41628000,-76.5143400,232.0
42.41624000,-76.5142600,233.0
42.41620000,-76.5142300,233.0
42.41619000,-76.5142200,233.0
42.41596000,-76.5140200,233.0
42.41592000,-76.5140100,233.0
42.41586000,-76.5140100,232.0
42.41581000,-76.5140100,232.0
42.41577000,-76.5140000,232.0
42.41572000,-76.5140000,232.0
42.41567000,-76.5139800,232.0
42.41563000,-76.5139500,233.0
42.41560000,-76.5138900,234.0
42.41558000,-76.5137900,237.0
42.41554000,-76.5137400,238.0
42.41550000,-76.5136800,239.0
42.41545000,-76.5136300,240.0
42.41541000,-76.5135700,241.0
42.41537000,-76.5135300,242.0
42.41532000,-76.5134900,242.0
42.41530000,-76.5134300,243.0
42.41524000,-76.5133500,244.0
42.41521000,-76.5133000,245.0
42.41518000,-76.5132300,246.0
42.41515000,-76.5131800,247.0
42.41510000,-76.5131100,248.0
42.41505000,-76.5130100,249.0
42.41501000,-76.5129100,250.0
42.41498000,-76.5128000,251.0
42.41494000,-76.5127200,252.0
42.41492000,-76.5126600,253.0
42.41488000,-76.5126000,254.0
42.41485000,-76.5125100,255.0
42.41482000,-76.5124500,256.0
42.41478000,-76.5123900,257.0
42.41475000,-76.5123200,258.0
42.41473000,-76.5122500,261.0
42.41471000,-76.5121900,262.0
42.41470000,-76.5121300,264.0
42.41468000,-76.5120600,265.0
42.41468000,-76.5119900,267.0
42.41468000,-76.5118800,270.0
42.41470000,-76.5117700,271.0
42.41471000,-76.5116500,272.0
42.41474000,-76.5115700,274.0
42.41476000,-76.5114700,275.0
42.41478000,-76.5114200,275.0
42.41482000,-76.5113600,276.0
42.41486000,-76.5113200,276.0
42.41489000,-76.5112600,277.0
42.41492000,-76.5112000,277.0
42.41495000,-76.5111400,277.0
42.41499000,-76.5110700,277.0
42.41503000,-76.5110200,276.0
42.41507000,-76.5109900,276.0
42.41512000,-76.5109700,275.0
42.41517000,-76.5109600,275.0
42.41523000,-76.5109500,274.0
42.41527000,-76.5109200,274.0
42.41533000,-76.5108800,273.0
42.41537000,-76.5108500,273.0
42.41539000,-76.5107800,272.0
42.41542000,-76.5107300,272.0
42.41546000,-76.5107100,271.0
42.41552000,-76.5107000,271.0
42.41558000,-76.5107000,270.0
42.41563000,-76.5107000,270.0
42.41569000,-76.5107100,269.0
42.41575000,-76.5107100,268.0
42.41580000,-76.5107100,268.0
42.41587000,-76.5107100,266.0
42.41592000,-76.5107000,265.0
42.41596000,-76.5106900,264.0
42.41601000,-76.5106700,263.0
42.41605000,-76.5106300,262.0
42.41601000,-76.5106700,263.0
42.41596000,-76.5106900,264.0
42.41592000,-76.5107000,265.0
42.41587000,-76.5107100,266.0
42.41580000,-76.5107100,268.0
42.41575000,-76.5107100,268.0
42.41569000,-76.5107100,269.0
42.41563000,-76.5107000,270.0
42.41558000,-76.5107000,270.0
42.41552000,-76.5107000,271.0
42.41546000,-76.5107100,271.0
42.41542000,-76.5107300,272.0
42.41539000,-76.5107800,272.0
42.41537000,-76.5108500,273.0
42.41533000,-76.5108800,273.0
42.41527000,-76.5109200,274.0
42.41523000,-76.5109500,274.0
42.41517000,-76.5109600,275.0
42.41512000,-76.5109700,275.0
42.41507000,-76.5109900,276.0
42.41503000,-76.5110200,276.0
42.41499000,-76.5110700,277.0
42.41495000,-76.5111400,277.0
42.41492000,-76.5112000,277.0
42.41489000,-76.5112600,277.0
42.41486000,-76.5113200,276.0
42.41482000,-76.5113600,276.0
42.41478000,-76.5114200,275.0
42.41476000,-76.5114700,275.0
42.41474000,-76.5115700,274.0
42.41471000,-76.5116500,272.0
42.41470000,-76.5117700,271.0
42.41468000,-76.5118800,270.0
42.41468000,-76.5119900,267.0
42.41468000,-76.5120600,265.0
