Latitude,Longitude,Elevation
42.43286000,-76.4841600,166.0
42.43266000,-76.4841200,164.0
42.43257000,-76.4839900,165.0
42.43254000,-76.4839800,165.0
42.43224000,-76.4839900,164.0
42.43181000,-76.4837700,168.0
42.43139000,-76.4837800,169.0
42.43111000,-76.4836800,166.0
42.43105000,-76.4837000,166.0
42.43096000,-76.4835900,165.0
42.43091000,-76.4834700,165.0
42.43104000,-76.4832600,166.0
42.43115000,-76.4830800,168.0
42.43112000,-76.4826700,168.0
42.43088000,-76.4823000,169.0
42.43083000,-76.4816600,173.0
42.43060000,-76.4815900,174.0
42.43049000,-76.4813600,176.0
42.43032000,-76.4813200,178.0
42.42974000,-76.4810800,177.0
42.42955000,-76.4809000,177.0
42.42934000,-76.4802800,176.0
42.42930000,-76.4799200,176.0
42.42926000,-76.4796300,176.0
42.42908000,-76.4793800,176.0
42.42882000,-76.4791300,179.0
42.42854000,-76.4789900,180.0
42.42830000,-76.4789400,178.0
42.42802000,-76.4788800,178.0
42.42776000,-76.4787000,183.0
42.42727000,-76.4786600,183.0
42.42691000,-76.4785800,185.0
42.42679000,-76.4783600,184.0
42.42671000,-76.4780200,183.0
42.42670000,-76.4774700,184.0
42.42666000,-76.4767600,183.0
42.42660000,-76.4765300,183.0
42.42657000,-76.4761000,188.0
42.42655000,-76.4758300,193.0
42.42648000,-76.4756300,196.0
42.42641000,-76.4755700,196.0
42.42626000,-76.4753600,198.0
42.42624000,-76.4749400,208.0
42.42580000,-76.4747300,208.0
42.42537000,-76.4745200,204.0
42.42493000,-76.4743100,194.0
42.42496000,-76.4742100,195.0
42.42514000,-76.4732600,212.0
42.42516000,-76.4732500,212.0
42.42493000,-76.4725800,211.0
42.42469000,-76.4719200,208.0
42.42445000,-76.4712500,204.0
42.42422000,-76.4705800,204.0
42.42388000,-76.4696400,224.0
42.42362000,-76.4697300,218.0
42.42334000,-76.4695400,222.0
42.42326000,-76.4691600,237.0
42.42277000,-76.4691100,229.0
42.42228000,-76.4690500,215.0
42.42193000,-76.4685500,220.0
42.42159000,-76.4680400,214.0
42.42124000,-76.4675400,210.0
42.42097000,-76.4670200,212.0
42.42070000,-76.4664900,214.0
42.42043000,-76.4659700,207.0
42.42024000,-76.4653700,203.0
42.41979000,-76.4645100,205.0
42.41929000,-76.4635200,205.0
42.41910000,-76.4635300,202.0
42.41929000,-76.4635200,205.0
42.41979000,-76.4645100,205.0
42.42024000,-76.4653700,203.0
42.42043000,-76.4659700,207.0
42.42070000,-76.4664900,214.0
42.42097000,-76.4670200,212.0
42.42124000,-76.4675400,210.0
42.42159000,-76.4680400,214.0
42.42193000,-76.4685500,220.0
42.42228000,-76.4690500,215.0
42.42277000,-76.4691100,229.0
42.42326000,-76.4691600,237.0
42.42334000,-76.4695400,222.0
42.42362000,-76.4697300,218.0
42.42388000,-76.4696400,224.0
42.42422000,-76.4705800,204.0
42.42445000,-76.4712500,204.0
42.42469000,-76.4719200,208.0
42.42493000,-76.4725800,211.0
42.42516000,-76.4732500,212.0
42.42517000,-76.4733400,212.0
42.42495000,-76.4743000,194.0
42.42493000,-76.4743100,194.0
42.42537000,-76.4745200,204.0
42.42580000,-76.4747300,208.0
42.42624000,-76.4749400,208.0
42.42626000,-76.4753600,198.0
42.42641000,-76.4755700,196.0
42.42640000,-76.4756100,195.0
42.42653000,-76.4760300,189.0
42.42653000,-76.4764700,184.0
42.42657000,-76.4766700,183.0
42.42661000,-76.4773800,184.0
42.42662000,-76.4779200,184.0
42.42668000,-76.4782500,184.0
42.42678000,-76.4784600,186.0
42.42715000,-76.4785600,183.0
42.42765000,-76.4785900,184.0
42.42791000,-76.4787400,181.0
42.42818000,-76.4788400,179.0
42.42843000,-76.4788800,180.0
42.42869000,-76.4790000,181.0
42.42895000,-76.4792600,178.0
42.42915000,-76.4795100,175.0
42.42921000,-76.4798100,175.0
42.42924000,-76.4801800,175.0
42.42943000,-76.4808000,176.0
42.42962000,-76.4809700,177.0
42.43020000,-76.4812400,179.0
42.43037000,-76.4812700,178.0
42.43047000,-76.4814900,175.0
42.43071000,-76.4815600,174.0
42.43077000,-76.4822000,170.0
42.43110000,-76.4825600,169.0
42.43115000,-76.4829600,168.0
42.43104000,-76.4831400,167.0
42.43086000,-76.4833300,165.0
42.43090000,-76.4834600,165.0
42.43100000,-76.4836100,165.0
42.43106000,-76.4835900,165.0
42.43128000,-76.4837000,168.0
42.43172000,-76.4837000,169.0
42.43218000,-76.4838900,166.0
42.43223000,-76.4840100,164.0
42.43251000,-76.4839600,165.0
42.43257000,-76.4839900,165.0
42.43266000,-76.4841200,164.0
42.43286000,-76.4841600,166.0
