Latitude,Longitude,Elevation
42.47989000,-76.4502500,329.0
42.47992000,-76.4502300,329.0
42.47978000,-76.4504300,329.0
42.47956000,-76.4504400,330.0
42.47956000,-76.4507700,330.0
42.47945000,-76.4510500,330.0
42.47921000,-76.4510100,331.0
42.47901000,-76.4508800,333.0
42.47878000,-76.4508100,334.0
42.47859000,-76.4509900,333.0
42.47840000,-76.4511500,332.0
42.47819000,-76.4512900,332.0
42.47798000,-76.4514100,333.0
42.47779000,-76.4516000,336.0
42.47770000,-76.4519000,337.0
42.47760000,-76.4519900,338.0
42.47738000,-76.4521300,338.0
42.47714000,-76.4521900,338.0
42.47692000,-76.4521400,337.0
42.47676000,-76.4519100,337.0
42.47660000,-76.4517000,336.0
42.47643000,-76.4514800,339.0
42.47625000,-76.4512700,340.0
42.47605000,-76.4511200,341.0
42.47585000,-76.4509800,341.0
42.47568000,-76.4507700,339.0
42.47555000,-76.4505100,338.0
42.47548000,-76.4502100,338.0
42.47525000,-76.4501200,335.0
42.47501000,-76.4500800,335.0
42.47478000,-76.4500600,335.0
42.47456000,-76.4499800,336.0
42.47437000,-76.4498100,337.0
42.47427000,-76.4495200,337.0
42.47424000,-76.4492100,336.0
42.47421000,-76.4488800,334.0
42.47420000,-76.4485600,334.0
42.47420000,-76.4482400,336.0
42.47420000,-76.4479400,338.0
42.47422000,-76.4476100,339.0
42.47423000,-76.4472800,339.0
42.47423000,-76.4469700,340.0
42.47423000,-76.4466400,341.0
42.47433000,-76.4463700,342.0
42.47455000,-76.4462000,341.0
42.47478000,-76.4461000,341.0
42.47499000,-76.4460100,340.0
42.47521000,-76.4459300,339.0
42.47544000,-76.4458400,339.0
42.47567000,-76.4458100,339.0
42.47590000,-76.4458000,340.0
42.47613000,-76.4458300,341.0
42.47636000,-76.4458800,341.0
42.47657000,-76.4459800,341.0
42.47677000,-76.4461400,341.0
42.47683000,-76.4464400,341.0
42.47689000,-76.4467400,341.0
42.47694000,-76.4470400,341.0
42.47700000,-76.4473800,338.0
42.47705000,-76.4477000,337.0
42.47713000,-76.4480000,338.0
42.47720000,-76.4482900,339.0
42.47735000,-76.4485400,340.0
42.47757000,-76.4484800,341.0
42.47783000,-76.4482500,343.0
42.47802000,-76.4480600,343.0
42.47824000,-76.4479700,342.0
42.47844000,-76.4478300,341.0
42.47858000,-76.4475800,341.0
42.47867000,-76.4472500,343.0
42.47873000,-76.4469500,343.0
42.47878000,-76.4466300,344.0
42.47879000,-76.4464900,345.0
42.47898000,-76.4463000,344.0
42.47921000,-76.4463000,341.0
42.47944000,-76.4463000,339.0
42.47961000,-76.4465100,337.0
42.47973000,-76.4467700,335.0
42.47976000,-76.4471000,335.0
42.47976000,-76.4474100,335.0
42.47975000,-76.4477300,335.0
42.47979000,-76.4480400,334.0
42.47981000,-76.4483700,331.0
42.47985000,-76.4486700,331.0
42.47989000,-76.4489800,331.0
42.47986000,-76.4492800,332.0
42.47982000,-76.4496000,331.0
42.47966000,-76.4498300,330.0
42.47961000,-76.4501400,330.0
42.47983000,-76.4502400,329.0
42.47989000,-76.4502500,329.0
