Latitude,Longitude,Elevation
42.43252000,-76.4839600,165.0
42.43262000,-76.4843700,162.0
42.43259000,-76.4843800,162.0
42.43257000,-76.4844100,162.0
42.43255000,-76.4844400,162.0
42.43252000,-76.4844000,162.0
42.43251000,-76.4843600,162.0
42.43249000,-76.4843300,162.0
42.43246000,-76.4843000,162.0
42.43244000,-76.4843000,162.0
42.43241000,-76.4842800,163.0
42.43239000,-76.4842500,162.0
42.43237000,-76.4842100,162.0
42.43235000,-76.4841800,162.0
42.43232000,-76.4841500,162.0
42.43231000,-76.4841100,163.0
42.43229000,-76.4840700,163.0
42.43227000,-76.4840400,164.0
42.43224000,-76.4840200,164.0
42.43221000,-76.4840000,164.0
42.43218000,-76.4839800,165.0
42.43215000,-76.4839600,165.0
42.43213000,-76.4839300,165.0
42.43210000,-76.4839200,165.0
42.43207000,-76.4839100,165.0
42.43204000,-76.4839100,165.0
42.43200000,-76.4838900,166.0
42.43197000,-76.4838800,166.0
42.43194000,-76.4838600,166.0
42.43191000,-76.4838400,166.0
42.43188000,-76.4838300,167.0
42.43185000,-76.4838200,167.0
42.43181000,-76.4838200,167.0
42.43177000,-76.4838200,168.0
42.43174000,-76.4838300,168.0
42.43171000,-76.4838500,168.0
42.43167000,-76.4838600,168.0
42.43164000,-76.4838700,168.0
42.43160000,-76.4838700,168.0
42.43158000,-76.4838700,168.0
42.43154000,-76.4838800,168.0
42.43151000,-76.4838800,169.0
42.43147000,-76.4838800,169.0
42.43144000,-76.4838900,169.0
42.43140000,-76.4839100,170.0
42.43137000,-76.4839100,170.0
42.43133000,-76.4839000,169.0
42.43130000,-76.4839100,169.0
42.43127000,-76.4839200,169.0
42.43123000,-76.4838900,169.0
42.43122000,-76.4838400,168.0
42.43118000,-76.4838000,168.0
42.43114000,-76.4837900,168.0
42.43109000,-76.4837700,167.0
42.43105000,-76.4837700,167.0
42.43101000,-76.4837600,166.0
42.43097000,-76.4837200,165.0
42.43094000,-76.4836900,165.0
42.43091000,-76.4836600,164.0
42.43089000,-76.4836000,164.0
42.43089000,-76.4835600,164.0
42.43087000,-76.4835200,164.0
42.43086000,-76.4834800,164.0
42.43086000,-76.4834400,164.0
42.43087000,-76.4834000,165.0
42.43089000,-76.4833600,165.0
42.43092000,-76.4833500,165.0
42.43095000,-76.4833400,165.0
42.43099000,-76.4833400,166.0
42.43102000,-76.4833400,166.0
42.43105000,-76.4833400,166.0
42.43108000,-76.4833200,166.0
42.43110000,-76.4833000,167.0
42.43114000,-76.4832900,167.0
42.43117000,-76.4832800,167.0
42.43120000,-76.4832600,168.0
42.43122000,-76.4832300,168.0
42.43123000,-76.4831900,168.0
42.43125000,-76.4831500,169.0
42.43125000,-76.4831100,169.0
42.43126000,-76.4830700,170.0
42.43127000,-76.4830200,170.0
42.43128000,-76.4829700,170.0
42.43127000,-76.4829300,170.0
42.43127000,-76.4828800,171.0
42.43126000,-76.4828400,170.0
42.43124000,-76.4828100,170.0
42.43122000,-76.4827800,170.0
42.43120000,-76.4827400,170.0
42.43117000,-76.4827200,169.0
42.43114000,-76.4826800,169.0
42.43112000,-76.4826500,169.0
42.43110000,-76.4826200,169.0
42.43108000,-76.4825900,169.0
42.43106000,-76.4825700,169.0
42.43104000,-76.4825400,169.0
42.43102000,-76.4825100,169.0
42.43100000,-76.4824800,169.0
42.43097000,-76.4824500,169.0
42.43095000,-76.4824300,169.0
42.43092000,-76.4824200,169.0
42.43090000,-76.4824000,169.0
42.43087000,-76.4823600,169.0
42.43084000,-76.4823300,169.0
42.43082000,-76.4823100,169.0
42.43080000,-76.4822900,169.0
42.43078000,-76.4822500,170.0
42.43078000,-76.4822000,170.0
42.43077000,-76.4821700,170.0
42.43077000,-76.4821200,170.0
42.43075000,-76.4820700,170.0
42.43073000,-76.4820300,170.0
42.43071000,-76.4819900,170.0
42.43071000,-76.4819400,171.0
42.43070000,-76.4819000,171.0
42.43069000,-76.4818600,171.0
42.43068000,-76.4818300,172.0
42.43067000,-76.4817900,172.0
42.43064000,-76.4817600,172.0
42.43061000,-76.4817200,173.0
42.43059000,-76.4816900,173.0
42.43057000,-76.4816700,173.0
42.43053000,-76.4816500,174.0
42.43050000,-76.4816500,174.0
42.43047000,-76.4816300,174.0
42.43044000,-76.4816100,174.0
42.43042000,-76.4815700,175.0
42.43041000,-76.4815300,175.0
42.43039000,-76.4814900,176.0
42.43038000,-76.4814500,176.0
42.43037000,-76.4814100,177.0
42.43035000,-76.4813700,177.0
42.43033000,-76.4813400,178.0
42.43030000,-76.4813300,178.0
42.43026000,-76.4813200,178.0
42.43023000,-76.4813200,178.0
42.43020000,-76.4813300,178.0
42.43018000,-76.4813400,177.0
42.43015000,-76.4813700,177.0
42.43012000,-76.4813900,176.0
42.43009000,-76.4813900,176.0
42.43005000,-76.4813600,176.0
42.43003000,-76.4813500,176.0
42.43000000,-76.4813300,177.0
42.42997000,-76.4813300,177.0
42.42993000,-76.4813300,177.0
42.42989000,-76.4813300,177.0
42.42986000,-76.4813300,178.0
42.42983000,-76.4813200,178.0
42.42981000,-76.4813100,178.0
42.42978000,-76.4812900,178.0
42.42975000,-76.4812500,178.0
42.42973000,-76.4812200,178.0
42.42970000,-76.4811900,178.0
42.42968000,-76.4811600,177.0
42.42966000,-76.4811400,177.0
42.42963000,-76.4811300,177.0
42.42960000,-76.4811200,177.0
42.42957000,-76.4810900,177.0
42.42954000,-76.4810600,177.0
42.42951000,-76.4810200,176.0
42.42948000,-76.4809800,176.0
42.42945000,-76.4809400,176.0
42.42942000,-76.4808900,176.0
42.42940000,-76.4808500,176.0
42.42937000,-76.4808100,176.0
42.42935000,-76.4807700,177.0
42.42933000,-76.4807100,177.0
42.42933000,-76.4806600,177.0
42.42932000,-76.4806200,177.0
42.42931000,-76.4805600,177.0
42.42929000,-76.4805200,176.0
42.42926000,-76.4804800,176.0
42.42926000,-76.4804200,176.0
42.42927000,-76.4803700,176.0
42.42927000,-76.4803200,176.0
42.42926000,-76.4802700,176.0
42.42926000,-76.4802100,175.0
42.42925000,-76.4801500,175.0
42.42925000,-76.4801000,175.0
42.42924000,-76.4800500,175.0
42.42924000,-76.4800000,175.0
42.42925000,-76.4799500,175.0
42.42925000,-76.4798900,175.0
42.42925000,-76.4798300,175.0
42.42924000,-76.4797700,175.0
42.42922000,-76.4797200,175.0
42.42919000,-76.4796800,175.0
42.42917000,-76.4796300,175.0
42.42914000,-76.4795800,175.0
42.42911000,-76.4795500,175.0
42.42907000,-76.4795400,175.0
42.42903000,-76.4795300,176.0
42.42899000,-76.4795100,176.0
42.42895000,-76.4794800,177.0
42.42891000,-76.4794500,177.0
42.42887000,-76.4794100,178.0
42.42885000,-76.4793800,178.0
42.42883000,-76.4793200,178.0
42.42881000,-76.4792800,179.0
42.42877000,-76.4792600,179.0
42.42872000,-76.4792400,179.0
42.42870000,-76.4792000,180.0
42.42866000,-76.4791600,180.0
42.42862000,-76.4791400,181.0
42.42858000,-76.4791000,180.0
42.42855000,-76.4790900,180.0
42.42852000,-76.4790900,180.0
42.42849000,-76.4790800,179.0
42.42845000,-76.4790700,179.0
42.42841000,-76.4790600,179.0
42.42838000,-76.4790400,178.0
42.42835000,-76.4790300,178.0
42.42832000,-76.4790200,178.0
42.42829000,-76.4790200,178.0
42.42826000,-76.4790200,178.0
42.42823000,-76.4790200,178.0
42.42820000,-76.4790200,178.0
