Latitude,Longitude,Elevation
42.42920000,-76.4913800,238.0
42.42869000,-76.4904000,238.0
42.42763000,-76.4888500,238.0
42.42657000,-76.4872600,240.0
42.42551000,-76.4855700,241.0
42.42511000,-76.4847500,243.0
42.42464000,-76.4838200,246.0
42.42422000,-76.4829600,247.0
42.42373000,-76.4820700,246.0
42.42368000,-76.4820000,246.0
42.42323000,-76.4808800,252.0
42.42296000,-76.4805100,248.0
42.42188000,-76.4785400,250.0
42.42083000,-76.4768200,253.0
42.41951000,-76.4754900,258.0
42.41830000,-76.4742900,262.0
42.41701000,-76.4730500,271.0
42.41574000,-76.4717000,270.0
42.41441000,-76.4704200,271.0
42.41306000,-76.4691000,271.0
42.41175000,-76.4678100,269.0
42.41050000,-76.4665000,272.0
42.40913000,-76.4651700,270.0
42.40786000,-76.4638900,276.0
42.40740000,-76.4634200,278.0
42.40539000,-76.4607900,284.0
42.40738000,-76.4634000,279.0
42.40783000,-76.4638600,275.0
42.40908000,-76.4651200,271.0
42.41046000,-76.4664600,272.0
42.41171000,-76.4677700,269.0
42.41302000,-76.4690600,271.0
42.41437000,-76.4703800,271.0
42.41570000,-76.4716600,269.0
42.41697000,-76.4730100,271.0
42.41826000,-76.4742500,262.0
42.41947000,-76.4754500,258.0
42.42078000,-76.4767800,254.0
42.42183000,-76.4785100,250.0
42.42288000,-76.4804600,249.0
42.42314000,-76.4808200,252.0
42.42360000,-76.4819400,248.0
42.42364000,-76.4820000,247.0
42.42413000,-76.4828900,247.0
42.42454000,-76.4837500,248.0
42.42503000,-76.4847000,243.0
42.42544000,-76.4855300,242.0
42.42652000,-76.4872300,240.0
42.42760000,-76.4888200,238.0
42.42865000,-76.4903700,238.0
42.42898000,-76.4909000,238.0
42.42920000,-76.4913800,238.0
