Latitude,Longitude,Elevation
42.53186000,-76.6157800,256.0
42.53208000,-76.6155400,256.0
42.53210000,-76.6153500,257.0
42.53221000,-76.6154100,256.0
42.53237000,-76.6155000,255.0
42.53245000,-76.6155500,254.0
42.53253000,-76.6156100,253.0
42.53261000,-76.6157100,251.0
42.53279000,-76.6157800,250.0
42.53288000,-76.6157600,251.0
42.53297000,-76.6157200,251.0
42.53306000,-76.6157200,251.0
42.53315000,-76.6156800,253.0
42.53322000,-76.6156100,254.0
42.53330000,-76.6155500,255.0
42.53338000,-76.6154700,255.0
42.53345000,-76.6153900,255.0
42.53354000,-76.6153500,256.0
42.53360000,-76.6152500,256.0
42.53370000,-76.6151900,256.0
42.53379000,-76.6151400,255.0
42.53388000,-76.6150900,255.0
42.53396000,-76.6150100,254.0
42.53402000,-76.6149100,254.0
42.53416000,-76.6147600,254.0
42.53424000,-76.6147000,254.0
42.53432000,-76.6146100,253.0
42.53439000,-76.6145300,253.0
42.53447000,-76.6144700,253.0
42.53455000,-76.6143900,253.0
42.53464000,-76.6143600,253.0
42.53473000,-76.6143100,254.0
42.53480000,-76.6142400,255.0
42.53487000,-76.6141600,257.0
42.53503000,-76.6140200,260.0
42.53511000,-76.6139400,260.0
42.53519000,-76.6138800,259.0
42.53525000,-76.6137800,258.0
42.53529000,-76.6136700,257.0
42.53545000,-76.6135600,256.0
42.53550000,-76.6134500,255.0
42.53555000,-76.6133400,255.0
42.53559000,-76.6132300,255.0
42.53564000,-76.6131200,255.0
42.53568000,-76.6130100,255.0
42.53582000,-76.6128500,258.0
42.53588000,-76.6127500,258.0
42.53592000,-76.6126200,258.0
42.53596000,-76.6125100,258.0
42.53602000,-76.6123900,260.0
42.53605000,-76.6122600,262.0
42.53607000,-76.6121400,263.0
42.53609000,-76.6120200,264.0
42.53609000,-76.6118900,265.0
42.53600000,-76.6117700,264.0
42.53595000,-76.6115400,260.0
42.53601000,-76.6113100,257.0
42.53615000,-76.6112600,261.0
42.53624000,-76.6112700,262.0
42.53634000,-76.6112500,263.0
42.53644000,-76.6112400,264.0
42.53653000,-76.6112500,264.0
42.53662000,-76.6112500,264.0
42.53672000,-76.6112400,264.0
42.53681000,-76.6112300,264.0
42.53690000,-76.6112100,265.0
42.53699000,-76.6111700,265.0
42.53704000,-76.6110600,263.0
42.53710000,-76.6109500,261.0
42.53716000,-76.6108300,259.0
42.53723000,-76.6107200,258.0
42.53731000,-76.6106400,258.0
42.53740000,-76.6105700,258.0
42.53744000,-76.6104600,257.0
42.53749000,-76.6103500,255.0
42.53757000,-76.6102900,256.0
42.53766000,-76.6102300,256.0
42.53772000,-76.6101300,255.0
42.53777000,-76.6100200,253.0
42.53783000,-76.6099200,252.0
42.53791000,-76.6098500,251.0
42.53797000,-76.6097400,249.0
42.53802000,-76.6096100,247.0
42.53805000,-76.6094900,246.0
42.53810000,-76.6093800,244.0
42.53814000,-76.6092600,243.0
42.53817000,-76.6091300,241.0
42.53822000,-76.6090200,240.0
42.53834000,-76.6088500,239.0
42.53840000,-76.6087500,238.0
42.53846000,-76.6086400,238.0
42.53851000,-76.6085300,236.0
42.53854000,-76.6083900,232.0
42.53857000,-76.6082600,229.0
42.53857000,-76.6081300,225.0
42.53855000,-76.6078800,220.0
42.53856000,-76.6076300,221.0
42.53858000,-76.6074000,220.0
42.53860000,-76.6072800,216.0
42.53865000,-76.6071700,216.0
42.53879000,-76.6070100,223.0
42.53885000,-76.6069000,225.0
42.53891000,-76.6067900,226.0
42.53897000,-76.6066900,227.0
42.53902000,-76.6065700,227.0
42.53907000,-76.6064700,229.0
42.53914000,-76.6063900,232.0
42.53917000,-76.6062600,233.0
42.53920000,-76.6061400,233.0
42.53923000,-76.6060200,231.0
42.53928000,-76.6059200,230.0
42.53935000,-76.6058000,231.0
42.53941000,-76.6057100,233.0
42.53949000,-76.6056400,234.0
42.53955000,-76.6055400,233.0
42.53968000,-76.6053800,230.0
42.53974000,-76.6052700,228.0
42.53981000,-76.6051900,224.0
42.53988000,-76.6050900,222.0
42.54005000,-76.6050400,224.0
42.54023000,-76.6050200,224.0
42.54035000,-76.6049500,222.0
42.54052000,-76.6049900,220.0
42.54061000,-76.6049900,218.0
42.54070000,-76.6050000,216.0
42.54081000,-76.6050200,213.0
42.54090000,-76.6050300,211.0
42.54099000,-76.6050200,209.0
42.54108000,-76.6050300,207.0
42.54119000,-76.6050200,206.0
42.54136000,-76.6049900,203.0
42.54153000,-76.6050100,203.0
42.54163000,-76.6050200,203.0
42.54173000,-76.6050400,202.0
42.54182000,-76.6050600,202.0
42.54192000,-76.6050800,202.0
42.54201000,-76.6050800,201.0
42.54211000,-76.6050800,200.0
42.54220000,-76.6050800,199.0
42.54229000,-76.6050500,198.0
42.54245000,-76.6049200,195.0
42.54253000,-76.6048400,193.0
42.54261000,-76.6047700,191.0
42.54269000,-76.6047100,190.0
42.54283000,-76.6045500,186.0
42.54290000,-76.6044800,186.0
42.54298000,-76.6044200,185.0
42.54307000,-76.6043800,185.0
42.54315000,-76.6043000,184.0
42.54321000,-76.6042000,182.0
42.54326000,-76.6040800,180.0
42.54332000,-76.6039800,180.0
42.54338000,-76.6038800,181.0
42.54348000,-76.6038300,183.0
42.54357000,-76.6037800,185.0
42.54365000,-76.6037200,186.0
42.54375000,-76.6037000,188.0
42.54384000,-76.6036600,190.0
42.54393000,-76.6036300,190.0
42.54409000,-76.6035300,187.0
42.54415000,-76.6034400,185.0
42.54421000,-76.6033300,182.0
42.54428000,-76.6032400,180.0
42.54434000,-76.6031300,178.0
42.54439000,-76.6030300,177.0
42.54450000,-76.6028200,173.0
42.54455000,-76.6027000,170.0
42.54462000,-76.6026100,169.0
42.54468000,-76.6025100,167.0
42.54474000,-76.6024100,165.0
42.54480000,-76.6022800,161.0
42.54485000,-76.6021800,159.0
42.54491000,-76.6020900,158.0
42.54497000,-76.6019800,157.0
42.54505000,-76.6019100,156.0
42.54514000,-76.6018700,155.0
42.54523000,-76.6018400,156.0
42.54532000,-76.6017900,156.0
42.54544000,-76.6016200,154.0
42.54552000,-76.6015400,154.0
42.54558000,-76.6014400,153.0
42.54562000,-76.6013200,152.0
42.54565000,-76.6012000,149.0
42.54569000,-76.6010700,146.0
42.54575000,-76.6009800,142.0
42.54590000,-76.6010700,142.0
