Latitude,Longitude,Elevation
42.39838000,-76.5488500,140.0
42.39858000,-76.5486100,140.0
42.39858000,-76.5486800,141.0
42.39858000,-76.5487700,142.0
42.39857000,-76.5488500,143.0
42.39857000,-76.5489200,143.0
42.39857000,-76.5490000,142.0
42.39856000,-76.5490600,142.0
42.39855000,-76.5491300,141.0
42.39855000,-76.5491900,141.0
42.39854000,-76.5492600,141.0
42.39853000,-76.5493700,141.0
42.39853000,-76.5494300,141.0
42.39852000,-76.5496800,141.0
42.39851000,-76.5498400,141.0
42.39851000,-76.5499400,141.0
42.39850000,-76.5500200,141.0
42.39850000,-76.5500900,141.0
42.39849000,-76.5501600,141.0
42.39849000,-76.5503000,141.0
42.39848000,-76.5504000,141.0
42.39848000,-76.5504800,141.0
42.39848000,-76.5505400,141.0
42.39846000,-76.5507900,142.0
42.39845000,-76.5508700,142.0
42.39843000,-76.5509400,142.0
42.39842000,-76.5510500,143.0
42.39840000,-76.5511700,143.0
42.39840000,-76.5512400,143.0
42.39840000,-76.5513600,143.0
42.39840000,-76.5514800,143.0
42.39840000,-76.5515700,143.0
42.39840000,-76.5516400,143.0
42.39840000,-76.5517500,143.0
42.39840000,-76.5520000,143.0
42.39841000,-76.5520800,144.0
42.39842000,-76.5521500,145.0
42.39844000,-76.5522300,146.0
42.39846000,-76.5523200,147.0
42.39848000,-76.5523900,147.0
42.39851000,-76.5524800,149.0
42.39853000,-76.5525400,149.0
42.39858000,-76.5526300,151.0
42.39862000,-76.5527000,152.0
42.39869000,-76.5527100,153.0
42.39874000,-76.5527100,154.0
42.39879000,-76.5526900,155.0
42.39884000,-76.5526700,155.0
42.39890000,-76.5526200,156.0
42.39895000,-76.5525800,157.0
42.39904000,-76.5525500,159.0
42.39909000,-76.5525300,159.0
42.39913000,-76.5525000,160.0
42.39922000,-76.5524600,160.0
42.39943000,-76.5524000,162.0
42.39949000,-76.5523700,161.0
42.39956000,-76.5523500,159.0
42.39962000,-76.5523200,158.0
42.39968000,-76.5522900,156.0
42.39973000,-76.5522700,155.0
42.39978000,-76.5522300,154.0
42.39983000,-76.5522100,154.0
42.39990000,-76.5521700,153.0
42.39996000,-76.5521300,153.0
42.40005000,-76.5520600,153.0
42.40011000,-76.5520200,154.0
42.40019000,-76.5519600,155.0
42.40025000,-76.5519600,156.0
42.40030000,-76.5519900,157.0
42.40033000,-76.5520900,158.0
42.40035000,-76.5521400,158.0
42.40037000,-76.5522000,159.0
42.40042000,-76.5523300,160.0
42.40044000,-76.5523900,161.0
42.40047000,-76.5524600,162.0
42.40047000,-76.5525500,163.0
42.40042000,-76.5525900,163.0
42.40036000,-76.5526000,164.0
42.40027000,-76.5526200,164.0
42.40022000,-76.5526300,164.0
42.40016000,-76.5526400,164.0
42.40011000,-76.5526600,164.0
42.40005000,-76.5526800,165.0
42.39998000,-76.5527200,165.0
42.39991000,-76.5527800,167.0
42.39985000,-76.5528100,168.0
42.39981000,-76.5528500,168.0
42.39975000,-76.5529100,170.0
42.39971000,-76.5529600,171.0
42.39968000,-76.5530000,171.0
42.39963000,-76.5530600,172.0
42.39959000,-76.5531100,172.0
42.39954000,-76.5531600,173.0
42.39948000,-76.5532100,173.0
42.39941000,-76.5532500,173.0
42.39935000,-76.5532900,173.0
42.39929000,-76.5533300,172.0
42.39924000,-76.5533800,172.0
42.39921000,-76.5534600,173.0
42.39919000,-76.5535600,173.0
42.39919000,-76.5536200,174.0
42.39920000,-76.5537200,174.0
42.39921000,-76.5538100,174.0
42.39922000,-76.5538900,175.0
42.39923000,-76.5539500,175.0
42.39924000,-76.5540100,175.0
42.39925000,-76.5541200,176.0
42.39927000,-76.5542600,177.0
42.39928000,-76.5543200,178.0
42.39930000,-76.5544200,179.0
42.39932000,-76.5545200,180.0
42.39934000,-76.5546300,181.0
42.39934000,-76.5546900,181.0
42.39935000,-76.5548500,181.0
42.39936000,-76.5549500,181.0
42.39938000,-76.5550400,181.0
42.39940000,-76.5551200,181.0
42.39942000,-76.5552100,181.0
42.39944000,-76.5553000,181.0
42.39945000,-76.5553900,181.0
42.39946000,-76.5554800,181.0
42.39946000,-76.5555700,181.0
42.39947000,-76.5556500,181.0
42.39948000,-76.5557400,182.0
42.39948000,-76.5558200,182.0
42.39946000,-76.5559100,183.0
42.39941000,-76.5560000,184.0
42.39938000,-76.5560700,185.0
42.39934000,-76.5561300,185.0
42.39932000,-76.5561800,186.0
42.39930000,-76.5562800,186.0
42.39928000,-76.5563600,186.0
42.39926000,-76.5564400,186.0
42.39925000,-76.5565400,186.0
42.39924000,-76.5566000,186.0
42.39923000,-76.5567100,186.0
42.39920000,-76.5568100,186.0
42.39917000,-76.5568900,186.0
42.39916000,-76.5569500,186.0
42.39904000,-76.5588400,209.0
42.39900000,-76.5588900,210.0
42.39897000,-76.5589500,211.0
42.39892000,-76.5590100,213.0
42.39889000,-76.5590700,214.0
42.39883000,-76.5591300,215.0
42.39872000,-76.5592000,216.0
42.39858000,-76.5592400,216.0
42.39851000,-76.5592600,215.0
42.39845000,-76.5592800,215.0
42.39841000,-76.5593000,215.0
42.39835000,-76.5593200,214.0
42.39830000,-76.5593500,214.0
42.39826000,-76.5594000,214.0
42.39823000,-76.5594600,215.0
42.39820000,-76.5595300,216.0
42.39817000,-76.5596100,217.0
42.39815000,-76.5596700,217.0
42.39812000,-76.5597600,218.0
42.39810000,-76.5598200,218.0
42.39807000,-76.5598800,217.0
42.39806000,-76.5599500,217.0
42.39805000,-76.5600400,217.0
42.39804000,-76.5601200,216.0
42.39805000,-76.5601900,216.0
42.39805000,-76.5602800,215.0
42.39807000,-76.5603500,216.0
42.39810000,-76.5604100,217.0
42.39812000,-76.5604700,217.0
42.39816000,-76.5605600,218.0
42.39819000,-76.5606200,219.0
42.39824000,-76.5606900,221.0
42.39828000,-76.5607600,223.0
42.39832000,-76.5608100,225.0
42.39835000,-76.5608800,225.0
42.39837000,-76.5609400,224.0
42.39839000,-76.5610000,224.0
42.39841000,-76.5611000,223.0
42.39843000,-76.5611900,223.0
42.39844000,-76.5612900,222.0
42.39845000,-76.5613900,221.0
42.39847000,-76.5615000,222.0
42.39849000,-76.5615900,223.0
42.39850000,-76.5616800,223.0
42.39849000,-76.5617600,222.0
42.39847000,-76.5618300,220.0
42.39843000,-76.5619500,217.0
42.39839000,-76.5620100,215.0
42.39836000,-76.5621000,213.0
42.39832000,-76.5621600,211.0
42.39828000,-76.5622400,210.0
42.39826000,-76.5623200,209.0
42.39824000,-76.5624100,208.0
42.39822000,-76.5625000,208.0
42.39820000,-76.5626000,207.0
42.39817000,-76.5627100,206.0
42.39816000,-76.5627900,206.0
42.39816000,-76.5628500,206.0
42.39819000,-76.5629200,207.0
42.39825000,-76.5629400,209.0
42.39832000,-76.5629400,211.0
42.39839000,-76.5629300,213.0
42.39844000,-76.5629500,215.0
42.39848000,-76.5630400,215.0
42.39851000,-76.5631300,214.0
42.39856000,-76.5632100,215.0
42.39860000,-76.5632900,215.0
42.39863000,-76.5633700,214.0
42.39865000,-76.5634500,214.0
42.39866000,-76.5635700,212.0
42.39867000,-76.5636900,210.0
42.39868000,-76.5637500,210.0
42.39871000,-76.5638500,209.0
42.39873000,-76.5639100,209.0
42.39876000,-76.5640000,209.0
42.39878000,-76.5641000,208.0
42.39879000,-76.5642300,206.0
42.39879000,-76.5643400,205.0
42.39879000,-76.5644300,204.0
42.39878000,-76.5645200,203.0
42.39877000,-76.5645900,203.0
42.39876000,-76.5646900,202.0
42.39875000,-76.5647900,201.0
42.39874000,-76.5648900,201.0
42.39873000,-76.5649600,201.0
42.39873000,-76.5650400,201.0
42.39872000,-76.5651200,201.0
42.39872000,-76.5651900,202.0
42.39872000,-76.5652900,202.0
42.39872000,-76.5653600,202.0
42.39872000,-76.5654400,203.0
42.39880000,-76.5661400,202.0
42.39883000,-76.5661900,202.0
42.39888000,-76.5663000,201.0
42.39892000,-76.5663800,201.0
42.39895000,-76.5664600,202.0
42.39898000,-76.5665500,202.0
42.39901000,-76.5666400,202.0
42.39905000,-76.5667200,203.0
42.39907000,-76.5667800,203.0
42.39909000,-76.5668500,203.0
42.39912000,-76.5669100,202.0
42.39914000,-76.5669800,202.0
42.39919000,-76.5670700,202.0
42.39923000,-76.5671500,203.0
42.39927000,-76.5672300,203.0
42.39931000,-76.5672800,204.0
42.39934000,-76.5673300,204.0
42.39937000,-76.5673700,204.0
42.39943000,-76.5674300,204.0
42.39947000,-76.5674800,205.0
42.39951000,-76.5675200,206.0
42.39956000,-76.5675500,207.0
42.39960000,-76.5675800,208.0
42.39968000,-76.5676300,208.0
42.39973000,-76.5676500,208.0
42.39977000,-76.5676800,210.0
42.39984000,-76.5677100,212.0
42.39990000,-76.5677200,214.0
42.39997000,-76.5677000,217.0
42.40004000,-76.5676800,221.0
42.40012000,-76.5676700,224.0
42.40019000,-76.5676700,227.0
42.40026000,-76.5676900,229.0
42.40031000,-76.5677300,229.0
