Latitude,Longitude,Elevation
42.44266000,-76.4850900,230.0
42.44268000,-76.4850400,230.0
42.44269000,-76.4849800,230.0
42.44270000,-76.4849100,231.0
42.44272000,-76.4848600,232.0
42.44275000,-76.4848100,232.0
42.44278000,-76.4847600,233.0
42.44280000,-76.4847000,234.0
42.44283000,-76.4846400,234.0
42.44285000,-76.4845900,234.0
42.44287000,-76.4845300,235.0
42.44289000,-76.4844700,235.0
42.44291000,-76.4844100,235.0
42.44293000,-76.4843500,235.0
42.44294000,-76.4842900,236.0
42.44295000,-76.4842300,236.0
42.44295000,-76.4841600,236.0
42.44294000,-76.4841000,237.0
42.44292000,-76.4840400,237.0
42.44291000,-76.4839800,238.0
42.44290000,-76.4839200,238.0
42.44288000,-76.4838500,239.0
42.44288000,-76.4837900,239.0
42.44287000,-76.4837200,240.0
42.44287000,-76.4836500,240.0
42.44285000,-76.4835900,241.0
42.44284000,-76.4835300,241.0
42.44284000,-76.4834600,241.0
42.44282000,-76.4833800,242.0
42.44281000,-76.4833100,242.0
42.44280000,-76.4832400,242.0
42.44278000,-76.4831800,243.0
42.44276000,-76.4831100,243.0
42.44275000,-76.4830400,244.0
42.44273000,-76.4829800,244.0
42.44272000,-76.4829200,244.0
42.44269000,-76.4828500,244.0
42.44268000,-76.4828000,244.0
42.44266000,-76.4827400,245.0
42.44265000,-76.4826700,245.0
42.44264000,-76.4826000,245.0
42.44262000,-76.4825400,245.0
42.44260000,-76.4824700,245.0
42.44258000,-76.4824200,245.0
42.44256000,-76.4823600,245.0
42.44254000,-76.4823000,246.0
42.44250000,-76.4822500,245.0
42.44248000,-76.4821900,246.0
42.44247000,-76.4821300,246.0
42.44246000,-76.4820700,247.0
42.44245000,-76.4820000,247.0
42.44245000,-76.4819400,248.0
42.44243000,-76.4818800,248.0
42.44242000,-76.4818100,248.0
42.44241000,-76.4817300,248.0
42.44239000,-76.4816700,248.0
42.44238000,-76.4816100,248.0
42.44237000,-76.4815700,247.0
42.44234000,-76.4814200,247.0
42.44231000,-76.4813600,247.0
42.44230000,-76.4812800,247.0
42.44229000,-76.4812100,247.0
42.44228000,-76.4811400,247.0
42.44228000,-76.4810700,247.0
42.44227000,-76.4810200,247.0
42.44225000,-76.4809600,248.0
42.44225000,-76.4808900,248.0
42.44226000,-76.4808300,248.0
42.44228000,-76.4807700,247.0
42.44229000,-76.4807000,247.0
42.44234000,-76.4806600,245.0
42.44238000,-76.4806400,245.0
42.44243000,-76.4806400,244.0
42.44247000,-76.4806700,243.0
42.44251000,-76.4807100,243.0
42.44254000,-76.4807600,243.0
42.44255000,-76.4808200,244.0
42.44256000,-76.4808900,244.0
42.44257000,-76.4809400,244.0
42.44258000,-76.4810200,244.0
42.44259000,-76.4810700,244.0
42.44262000,-76.4811300,245.0
42.44264000,-76.4811900,246.0
42.44266000,-76.4812500,246.0
42.44267000,-76.4813100,247.0
42.44270000,-76.4813700,248.0
42.44273000,-76.4814300,248.0
42.44276000,-76.4814800,249.0
42.44278000,-76.4815300,250.0
42.44282000,-76.4815700,251.0
42.44285000,-76.4816200,252.0
42.44289000,-76.4816700,253.0
42.44292000,-76.4817100,254.0
42.44296000,-76.4817600,255.0
42.44299000,-76.4818100,255.0
42.44302000,-76.4818500,255.0
42.44304000,-76.4819200,255.0
42.44307000,-76.4819800,254.0
42.44308000,-76.4820500,254.0
42.44310000,-76.4821100,253.0
42.44313000,-76.4821600,253.0
42.44315000,-76.4822100,252.0
42.44317000,-76.4822800,251.0
42.44320000,-76.4823400,249.0
42.44321000,-76.4824000,248.0
42.44321000,-76.4824700,247.0
42.44321000,-76.4825400,246.0
42.44320000,-76.4826000,244.0
42.44319000,-76.4826700,243.0
42.44318000,-76.4827300,242.0
42.44318000,-76.4827900,240.0
42.44319000,-76.4828500,240.0
42.44320000,-76.4829200,239.0
42.44322000,-76.4829800,238.0
42.44324000,-76.4830400,237.0
42.44328000,-76.4831000,237.0
42.44331000,-76.4831500,237.0
42.44334000,-76.4832000,237.0
42.44337000,-76.4832400,237.0
42.44341000,-76.4832900,237.0
42.44344000,-76.4833400,237.0
42.44345000,-76.4834100,237.0
42.44346000,-76.4834900,237.0
42.44346000,-76.4835500,237.0
42.44346000,-76.4836100,236.0
42.44346000,-76.4836900,236.0
42.44345000,-76.4837500,236.0
42.44345000,-76.4838200,236.0
42.44346000,-76.4838900,236.0
42.44346000,-76.4839500,236.0
42.44346000,-76.4840200,236.0
42.44346000,-76.4840800,236.0
42.44346000,-76.4841400,236.0
42.44344000,-76.4842000,235.0
42.44340000,-76.4842300,235.0
42.44335000,-76.4842400,235.0
42.44331000,-76.4842700,235.0
42.44327000,-76.4842800,235.0
42.44322000,-76.4842900,235.0
42.44317000,-76.4843100,235.0
42.44312000,-76.4843200,235.0
42.44307000,-76.4843300,235.0
42.44302000,-76.4843500,235.0
42.44298000,-76.4843700,235.0
42.44294000,-76.4844000,235.0
42.44290000,-76.4844600,235.0
42.44289000,-76.4845300,234.0
42.44286000,-76.4845800,234.0
42.44284000,-76.4846400,234.0
42.44282000,-76.4846900,234.0
42.44280000,-76.4847500,233.0
42.44277000,-76.4848100,232.0
42.44275000,-76.4848600,232.0
42.44273000,-76.4849200,231.0
42.44271000,-76.4849800,230.0
42.44268000,-76.4850300,230.0
42.44266000,-76.4850700,230.0
42.44266000,-76.4850900,230.0
