Latitude,Longitude,Elevation
42.43332000,-76.4859500,162.0
42.43361000,-76.4861200,162.0
42.43365000,-76.4863300,162.0
42.43376000,-76.4865600,160.0
42.43402000,-76.4865800,156.0
42.43412000,-76.4865400,154.0
42.43420000,-76.4860500,155.0
42.43425000,-76.4857000,157.0
42.43426000,-76.4856000,157.0
42.43428000,-76.4860000,156.0
42.43424000,-76.4864800,152.0
42.43415000,-76.4865500,153.0
42.43389000,-76.4865800,159.0
42.43375000,-76.4863800,161.0
42.43369000,-76.4861600,162.0
42.43354000,-76.4860100,163.0
42.43332000,-76.4859500,162.0
